dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81608_beta	bicor	HIPPIE	20000	375	62.28	62	7.23219513458027	6.04838709677419	43.239983736715
GSE81608_beta	bicor	HIPPIE	50000	714	142.54	142	9.82310202193448	5.02816901408451	58.1751058600388
GSE81608_beta	bicor	HIPPIE	1e+05	1060	264.92	265	15.792006672601	4	50.3469898717467
GSE81608_beta	bicor	Reactome	20000	525	80.01	79.5	8.79220844230443	6.60377358490566	50.6118574098965
GSE81608_beta	bicor	Reactome	50000	986	184.66	185	12.0965977352178	5.32972972972973	66.2450729982525
GSE81608_beta	bicor	Reactome	1e+05	1434	360.77	361.5	16.6774843681079	3.96680497925311	64.3520315361421
GSE81608_beta	bicor	STRING	20000	254	19.47	19	4.51138850717008	13.3684210526316	51.9862121444994
GSE81608_beta	bicor	STRING	50000	415	50.9	51	6.24823207318711	8.13725490196078	58.2724834377478
GSE81608_beta	bicor	STRING	1e+05	568	102.71	103	9.39621135771157	5.51456310679612	49.5188946147036
GSE81608_beta	bicor	OmniPath	20000	370	32.86	33	5.1010397038845	11.2121212121212	66.0924085227692
GSE81608_beta	bicor	OmniPath	50000	663	60.57	60	7.28393139490321	11.05	82.706709788829
GSE81608_beta	bicor	OmniPath	1e+05	864	84.09	84	8.17991504240784	10.2857142857143	95.3445110317949
