dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_acinar	MI	HIPPIE	20000	1607	357.54	358	15.8046278863586	4.48882681564246	79.0565908279591
GSE84133_human_acinar	MI	HIPPIE	50000	2122	784.6	788	24.40607640848	2.69289340101523	54.7978289347366
GSE84133_human_acinar	MI	HIPPIE	1e+05	2705	1323.19	1321.5	31.2344328903183	2.04691638289822	44.2399580249244
GSE84133_human_acinar	MI	Reactome	20000	2586	560.71	560	19.7649291484292	4.61785714285714	102.468872253001
GSE84133_human_acinar	MI	Reactome	50000	3863	1169.86	1168.5	28.8156873661525	3.30594779632007	93.4608973847843
GSE84133_human_acinar	MI	Reactome	1e+05	5282	1962.52	1959.5	37.9474596905998	2.69558560857362	87.4756841977037
GSE84133_human_acinar	MI	STRING	20000	709	90.65	90.5	9.31206993448001	7.83425414364641	66.403066595368
GSE84133_human_acinar	MI	STRING	50000	954	221.28	222.5	13.6100675749219	4.2876404494382	53.8366173398082
GSE84133_human_acinar	MI	STRING	1e+05	1289	419.69	421	19.2336484402526	3.06175771971496	45.1973531023208
GSE84133_human_acinar	MI	OmniPath	20000	1490	184.89	184	11.9543703178783	8.09782608695652	109.17429904678
GSE84133_human_acinar	MI	OmniPath	50000	1534	295.72	296	15.2355777141147	5.18243243243243	81.2755527381689
GSE84133_human_acinar	MI	OmniPath	1e+05	1596	414.22	414	18.6285216316759	3.85507246376812	63.4392800119201
