dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_acinar	kendall	HIPPIE	20000	1586	354.83	354	16.5340511818746	4.48022598870056	74.4626943788384
GSE84133_human_acinar	kendall	HIPPIE	50000	2097	788.03	786	26.4469948265117	2.66793893129771	49.4940921865281
GSE84133_human_acinar	kendall	HIPPIE	1e+05	2741	1363.34	1366	31.6084696487406	2.00658857979502	43.5851534512647
GSE84133_human_acinar	kendall	Reactome	20000	2774	561.72	561	21.6398808787027	4.94474153297683	102.231616356874
GSE84133_human_acinar	kendall	Reactome	50000	4147	1152.01	1152	30.3656155225052	3.59982638888889	98.6309662578812
GSE84133_human_acinar	kendall	Reactome	1e+05	5581	1960.73	1957	41.0980239884788	2.85181400102197	88.0886633628636
GSE84133_human_acinar	kendall	STRING	20000	655	70.67	71.5	7.94432012334739	9.16083916083916	73.5531789917083
GSE84133_human_acinar	kendall	STRING	50000	862	171.05	170	11.759694045357	5.07058823529412	58.755780323452
GSE84133_human_acinar	kendall	STRING	1e+05	1169	319.44	317	17.3498289806144	3.68769716088328	48.9664769001036
GSE84133_human_acinar	kendall	OmniPath	20000	1483	181.52	181.5	12.4352707890082	8.17079889807163	104.660366636359
GSE84133_human_acinar	kendall	OmniPath	50000	1520	285.19	284.5	15.8411910326633	5.3427065026362	77.9493156451377
GSE84133_human_acinar	kendall	OmniPath	1e+05	1593	415.71	414	17.7896207396506	3.84782608695652	66.1784766088905
