dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_alpha	MI	HIPPIE	20000	1322	249.6	249	13.8993495960034	5.30923694779116	77.1546893322518
GSE84133_human_alpha	MI	HIPPIE	50000	1654	516.47	517	18.7576004797409	3.19922630560928	60.6436842083606
GSE84133_human_alpha	MI	HIPPIE	1e+05	2080	864.03	863.5	27.1078858406087	2.40880138969311	44.8566888303192
GSE84133_human_alpha	MI	Reactome	20000	1997	455.01	453.5	17.1761491903774	4.40352811466373	89.7750702389027
GSE84133_human_alpha	MI	Reactome	50000	2832	917.95	918	26.8235442336117	3.08496732026144	71.3570877632779
GSE84133_human_alpha	MI	Reactome	1e+05	3956	1520.06	1521.5	33.5480418372088	2.60006572461387	72.6104972630102
GSE84133_human_alpha	MI	STRING	20000	686	82.29	83	8.82866657742569	8.26506024096386	68.3806546215762
GSE84133_human_alpha	MI	STRING	50000	932	181.36	180	13.1798131529804	5.17777777777778	56.9537664371407
GSE84133_human_alpha	MI	STRING	1e+05	1193	325.72	326.5	19.4702985404057	3.65390505359877	44.5437443190806
GSE84133_human_alpha	MI	OmniPath	20000	1416	151.18	150	12.2320823404618	9.44	103.401854630766
GSE84133_human_alpha	MI	OmniPath	50000	1498	227.53	226	15.7149192447396	6.6283185840708	80.8448316032726
GSE84133_human_alpha	MI	OmniPath	1e+05	1546	310.65	308	18.7726294418661	5.01948051948052	65.8059119435323
