dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_alpha	dice	HIPPIE	20000	1424	338.3	340	16.0809191153976	4.18823529411765	67.5147976436518
GSE84133_human_alpha	dice	HIPPIE	50000	1927	759.02	760.5	25.6703972101971	2.53385930309007	45.4991011800956
GSE84133_human_alpha	dice	HIPPIE	1e+05	2446	1262.71	1268.5	31.5365092256802	1.92826172644856	37.5212738839353
GSE84133_human_alpha	dice	Reactome	20000	2220	667.31	667.5	21.0404588612252	3.32584269662921	73.7954438275776
GSE84133_human_alpha	dice	Reactome	50000	3242	1274.05	1274.5	28.5286936896235	2.54374264417419	68.981426959475
GSE84133_human_alpha	dice	Reactome	1e+05	4350	1977.15	1977	38.9668014617779	2.20030349013657	60.8941435012956
GSE84133_human_alpha	dice	STRING	20000	697	113.37	112	9.80893738002504	6.22321428571429	59.4998191331618
GSE84133_human_alpha	dice	STRING	50000	891	240.88	239.5	14.7547492782028	3.72025052192067	44.0617449840657
GSE84133_human_alpha	dice	STRING	1e+05	1151	400.77	399	20.0835904673593	2.88471177944862	37.355372348351
GSE84133_human_alpha	dice	OmniPath	20000	1474	190.3	189.5	14.4680071994464	7.77836411609499	88.7268013005358
GSE84133_human_alpha	dice	OmniPath	50000	1503	279.08	277.5	17.1674345223976	5.41621621621622	71.2931217767691
GSE84133_human_alpha	dice	OmniPath	1e+05	1547	358	355	18.7917884495147	4.35774647887324	63.2723172248519
