dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_alpha	pearson	HIPPIE	20000	1385	268.04	268	14.7962048096016	5.16791044776119	75.4896282102814
GSE84133_human_alpha	pearson	HIPPIE	50000	1742	528.35	530.5	20.6428871013429	3.28369462770971	58.7926482396471
GSE84133_human_alpha	pearson	HIPPIE	1e+05	2164	901.54	899	27.5422246997976	2.40711902113459	45.837255841184
GSE84133_human_alpha	pearson	Reactome	20000	2109	441.1	440	16.7973663159293	4.79318181818182	99.2953281264277
GSE84133_human_alpha	pearson	Reactome	50000	3141	878.85	879	25.3693424304521	3.57337883959044	89.1686493728206
GSE84133_human_alpha	pearson	Reactome	1e+05	4381	1501.13	1497.5	33.4502963100826	2.92554257095159	86.0940056645164
GSE84133_human_alpha	pearson	STRING	20000	663	66.54	66.5	7.75303133938558	9.96992481203008	76.9324892277901
GSE84133_human_alpha	pearson	STRING	50000	872	145.67	145	12.7549198271875	6.01379310344828	56.9450854917808
GSE84133_human_alpha	pearson	STRING	1e+05	1121	256.87	257.5	18.0496817174434	4.35339805825243	47.8750824267941
GSE84133_human_alpha	pearson	OmniPath	20000	1430	149	148	12.3827837473378	9.66216216216216	103.450082480476
GSE84133_human_alpha	pearson	OmniPath	50000	1495	213.27	212.5	16.5235399880708	7.03529411764706	77.5699396694261
GSE84133_human_alpha	pearson	OmniPath	1e+05	1549	292.95	292.5	18.3992616233051	5.2957264957265	68.2663264274174
