dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_beta	MI	HIPPIE	20000	1450	304.76	303.5	14.2198609150879	4.77759472817133	80.5380591862787
GSE84133_human_beta	MI	HIPPIE	50000	1768	596.31	597.5	19.6498104445069	2.95899581589958	59.6285650342011
GSE84133_human_beta	MI	HIPPIE	1e+05	2249	1005.02	1003.5	27.5574624625298	2.24115595416044	45.1413116026722
GSE84133_human_beta	MI	Reactome	20000	2273	455.11	455	15.9885659902395	4.9956043956044	113.699377486997
GSE84133_human_beta	MI	Reactome	50000	3163	919.15	919	23.2493618897988	3.4417845484222	96.5123262580614
GSE84133_human_beta	MI	Reactome	1e+05	4262	1535.95	1537.5	29.4170207721841	2.7720325203252	92.6691394452043
GSE84133_human_beta	MI	STRING	20000	724	88.32	88.5	8.80757249946507	8.18079096045198	72.1742568725501
GSE84133_human_beta	MI	STRING	50000	988	214.68	216	13.8095853111035	4.57407407407407	55.9987850886598
GSE84133_human_beta	MI	STRING	1e+05	1292	374.65	375	17.3148940382422	3.44533333333333	52.9803993009667
GSE84133_human_beta	MI	OmniPath	20000	1438	163	163	12.6826056017084	8.82208588957055	100.531392368478
GSE84133_human_beta	MI	OmniPath	50000	1506	241.26	241	16.1173850549679	6.24896265560166	78.4705456677149
GSE84133_human_beta	MI	OmniPath	1e+05	1552	333.63	332	19.0229287487973	4.67469879518072	64.0474459053541
