dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_beta	binomial	HIPPIE	20000	78	38.59	39	6.30711478964011	2	6.2484989277084
GSE84133_human_beta	binomial	HIPPIE	50000	201	116.47	115	9.37701358847175	1.74782608695652	9.01459715318345
GSE84133_human_beta	binomial	HIPPIE	1e+05	403	250.76	250.5	15.0917195839308	1.60878243512974	10.0876509898912
GSE84133_human_beta	binomial	Reactome	20000	247	94.63	95	8.80960793220629	2.6	17.2958888945516
GSE84133_human_beta	binomial	Reactome	50000	522	219.15	220	13.9944974756495	2.37272727272727	21.6406484425011
GSE84133_human_beta	binomial	Reactome	1e+05	869	426.48	429	20.4911806601885	2.02564102564103	21.5956321569969
GSE84133_human_beta	binomial	STRING	20000	105	39.01	39	6.56820471143471	2.69230769230769	10.0468853970274
GSE84133_human_beta	binomial	STRING	50000	235	88.1	87	9.67919772950572	2.70114942528736	15.176877681938
GSE84133_human_beta	binomial	STRING	1e+05	376	159.11	159	12.2399371160991	2.36477987421384	17.7198622789267
GSE84133_human_beta	binomial	OmniPath	20000	26	5.48	5	2.43077906620221	5.2	8.44173799474914
GSE84133_human_beta	binomial	OmniPath	50000	54	15.54	15	4.17887907255406	3.6	9.20342496929299
GSE84133_human_beta	binomial	OmniPath	1e+05	103	34.18	34	5.60191165062554	3.02941176470588	12.2850919993205
