dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_beta	cosine	HIPPIE	20000	1486	372.02	373.5	17.8223443911277	3.97858099062918	62.5046837583591
GSE84133_human_beta	cosine	HIPPIE	50000	1876	772.32	773.5	25.0219620705209	2.42533936651584	44.1084514831184
GSE84133_human_beta	cosine	HIPPIE	1e+05	2355	1254.66	1259	32.3554188863802	1.87053216838761	34.0079046376735
GSE84133_human_beta	cosine	Reactome	20000	2493	557.73	561	19.6653081194865	4.44385026737968	98.4103573786531
GSE84133_human_beta	cosine	Reactome	50000	3487	1137.28	1139	27.5582321932333	3.06145741878841	85.2638145844839
GSE84133_human_beta	cosine	Reactome	1e+05	4852	1873.33	1868.5	35.9705421003062	2.5967353492106	82.8085935345035
GSE84133_human_beta	cosine	STRING	20000	610	67.18	67	7.39694176499636	9.1044776119403	73.3843819845548
GSE84133_human_beta	cosine	STRING	50000	788	168.66	168.5	12.9460574709216	4.67655786350148	47.8400471642516
GSE84133_human_beta	cosine	STRING	1e+05	1085	305.89	305	16.9037052898248	3.55737704918033	46.0910780590208
GSE84133_human_beta	cosine	OmniPath	20000	1455	187.73	187.5	13.3150291024842	7.76	95.1759091359078
GSE84133_human_beta	cosine	OmniPath	50000	1492	279.05	279.5	16.5354684593971	5.33810375670841	73.354438247601
GSE84133_human_beta	cosine	OmniPath	1e+05	1525	368.37	366	18.1751606498117	4.16666666666667	63.6379519436039
