dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_beta	pearson	HIPPIE	20000	1474	320.16	322	15.5931349826088	4.57763975155279	73.9966659229777
GSE84133_human_beta	pearson	HIPPIE	50000	1819	647.93	646	23.6708297661527	2.81578947368421	49.4731283849851
GSE84133_human_beta	pearson	HIPPIE	1e+05	2352	1111.38	1109.5	28.5734142167155	2.1198738170347	43.4186825064201
GSE84133_human_beta	pearson	Reactome	20000	2446	460.18	461.5	16.3276922849965	5.30010834236186	121.622821237559
GSE84133_human_beta	pearson	Reactome	50000	3458	950.73	951.5	24.0335855070198	3.63426169206516	104.323593301036
GSE84133_human_beta	pearson	Reactome	1e+05	4698	1612.93	1614	32.6587049666855	2.91078066914498	94.4639416396644
GSE84133_human_beta	pearson	STRING	20000	669	61.16	61	8.06503865364875	10.9672131147541	75.3672767240866
GSE84133_human_beta	pearson	STRING	50000	867	153.58	154	12.6843417350892	5.62987012987013	56.244148486353
GSE84133_human_beta	pearson	STRING	1e+05	1160	288.02	288	15.8534831911769	4.02777777777778	55.0024237251086
GSE84133_human_beta	pearson	OmniPath	20000	1431	163.4	164	12.7398206542726	8.72560975609756	99.4990458970772
GSE84133_human_beta	pearson	OmniPath	50000	1473	240.46	239.5	15.2854456423373	6.15031315240083	80.6348750857572
GSE84133_human_beta	pearson	OmniPath	1e+05	1530	346.63	347	18.9777408156147	4.40922190201729	62.3556835082465
