dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_beta	rho_p	HIPPIE	20000	1339	222.23	222	13.1685690992306	6.03153153153153	84.8057212279234
GSE84133_human_beta	rho_p	HIPPIE	50000	1515	354.83	354	16.9103727655752	4.27966101694915	68.6070032921914
GSE84133_human_beta	rho_p	HIPPIE	1e+05	1741	566.15	564	20.7663164521274	3.08687943262411	56.5747903682572
GSE84133_human_beta	rho_p	Reactome	20000	2018	320.53	322.5	13.9294434181483	6.25736434108527	121.862011929954
GSE84133_human_beta	rho_p	Reactome	50000	2392	493.96	494	17.3023732826489	4.84210526315789	109.698245957009
GSE84133_human_beta	rho_p	Reactome	1e+05	2890	776.29	775.5	24.5863947759896	3.72662798194713	85.9707175150459
GSE84133_human_beta	rho_p	STRING	20000	639	48.8	49	6.93985707069073	13.0408163265306	85.0449791671656
GSE84133_human_beta	rho_p	STRING	50000	753	101.98	102	10.3728277511754	7.38235294117647	62.7620563665705
GSE84133_human_beta	rho_p	STRING	1e+05	889	177.95	177.5	13.6554832291729	5.00845070422535	52.0706582159574
GSE84133_human_beta	rho_p	OmniPath	20000	1420	130.6	131	10.81431897761	10.8396946564886	119.230808955199
GSE84133_human_beta	rho_p	OmniPath	50000	1469	157	158	12.2011756346955	9.29746835443038	107.530621579545
GSE84133_human_beta	rho_p	OmniPath	1e+05	1523	198.37	200	13.3708978416152	7.615	99.068141548226
