dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_ductal	MI	HIPPIE	20000	1507	292.84	293.5	13.5368707124974	5.13458262350937	89.6928120085447
GSE84133_human_ductal	MI	HIPPIE	50000	1983	638.1	638	21.6433440908364	3.10815047021944	62.1391959743143
GSE84133_human_ductal	MI	HIPPIE	1e+05	2554	1091.56	1093.5	29.0183919386838	2.33561957018747	50.3970034966152
GSE84133_human_ductal	MI	Reactome	20000	2519	463.57	462	17.3620129866757	5.45238095238095	118.386618048116
GSE84133_human_ductal	MI	Reactome	50000	3539	997.14	996.5	26.7204079688204	3.55143000501756	95.1280385750866
GSE84133_human_ductal	MI	Reactome	1e+05	4946	1761.34	1758	35.7426887346181	2.81342434584755	89.0996204467275
GSE84133_human_ductal	MI	STRING	20000	724	81.78	81.5	8.03600483681871	8.88343558282209	79.9178214848165
GSE84133_human_ductal	MI	STRING	50000	1025	208.01	206.5	14.4812627107228	4.9636803874092	56.4170415467329
GSE84133_human_ductal	MI	STRING	1e+05	1370	389.05	386.5	22.1816991634495	3.54463130659767	44.223393021955
GSE84133_human_ductal	MI	OmniPath	20000	1469	168.08	169	12.0148729380369	8.69230769230769	108.275801725836
GSE84133_human_ductal	MI	OmniPath	50000	1537	259.37	258.5	14.9771914131543	5.9458413926499	85.3050458364225
GSE84133_human_ductal	MI	OmniPath	1e+05	1590	369.24	370	17.2111779511063	4.2972972972973	70.9283236433875
