dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_gamma	MI	HIPPIE	20000	1219	260.58	260	13.324375778962	4.68846153846154	71.9298236479684
GSE84133_human_gamma	MI	HIPPIE	50000	1570	509.11	508.5	19.8875094042223	3.08751229105211	53.3445379427332
GSE84133_human_gamma	MI	HIPPIE	1e+05	1974	847.36	847	26.5708581918331	2.33057851239669	42.4013402904046
GSE84133_human_gamma	MI	Reactome	20000	1806	424.95	423	15.5058639934	4.26950354609929	89.066304243855
GSE84133_human_gamma	MI	Reactome	50000	2479	807.57	808	25.0503553473859	3.06806930693069	66.7228059970184
GSE84133_human_gamma	MI	Reactome	1e+05	3317	1327.87	1329	31.8273927504741	2.49586155003762	62.497422129256
GSE84133_human_gamma	MI	STRING	20000	583	78.47	77.5	8.40449014190953	7.52258064516129	60.0310062217967
GSE84133_human_gamma	MI	STRING	50000	803	176.69	176.5	12.3162822345385	4.54957507082153	50.8521961476039
GSE84133_human_gamma	MI	STRING	1e+05	1021	317.21	315.5	18.5506649939341	3.23613312202853	37.938801667225
GSE84133_human_gamma	MI	OmniPath	20000	1250	144.51	144.5	11.9827274681417	8.65051903114187	92.2569592723485
GSE84133_human_gamma	MI	OmniPath	50000	1402	210.69	209	14.242981613852	6.70813397129187	83.641896921456
GSE84133_human_gamma	MI	OmniPath	1e+05	1509	286.71	287.5	16.6892543908112	5.24869565217391	73.2381430217139
