dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_human_gamma	kendall	HIPPIE	20000	1304	255.84	254.5	14.1447923814792	5.1237721021611	74.1021834560423
GSE84133_human_gamma	kendall	HIPPIE	50000	1581	465.93	466	18.2376317574737	3.39270386266094	61.141162121724
GSE84133_human_gamma	kendall	HIPPIE	1e+05	1958	768.48	768	27.1462481363224	2.54947916666667	43.818946692983
GSE84133_human_gamma	kendall	Reactome	20000	1928	378.36	377.5	16.9607508886568	5.10728476821192	91.3662378613432
GSE84133_human_gamma	kendall	Reactome	50000	2571	704.67	705	20.4830824503215	3.6468085106383	91.115680685585
GSE84133_human_gamma	kendall	Reactome	1e+05	3449	1163.37	1163.5	30.073531098414	2.96433175762785	76.0013844905808
GSE84133_human_gamma	kendall	STRING	20000	582	60.78	60.5	6.75932576877937	9.6198347107438	77.1112412435367
GSE84133_human_gamma	kendall	STRING	50000	727	132.19	132	10.5559548037201	5.50757575757576	56.3482897625118
GSE84133_human_gamma	kendall	STRING	1e+05	932	234.57	233.5	14.3585085463905	3.99143468950749	48.5725935772992
GSE84133_human_gamma	kendall	OmniPath	20000	1336	136.74	135.5	11.1433451626584	9.85977859778598	107.621183988696
GSE84133_human_gamma	kendall	OmniPath	50000	1415	183.73	183	13.2168051886203	7.73224043715847	93.1594271405415
GSE84133_human_gamma	kendall	OmniPath	1e+05	1477	245.69	248	16.0558966794701	5.95564516129032	76.6889588654627
