dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_mouse_alpha	dice	HIPPIE	20000	602	263.52	261.5	15.2630007508089	2.30210325047801	22.1765041832984
GSE84133_mouse_alpha	dice	HIPPIE	50000	1039	556.51	556	21.924339594767	1.86870503597122	22.007048281407
GSE84133_mouse_alpha	dice	HIPPIE	1e+05	1581	970.73	969.5	30.5709491068388	1.63073749355338	19.962415882714
GSE84133_mouse_alpha	dice	Reactome	20000	972	384.3	384	15.2510969964773	2.53125	38.5349329386434
GSE84133_mouse_alpha	dice	Reactome	50000	1614	801.23	804.5	26.5131394907613	2.00621504039776	30.65536619242
GSE84133_mouse_alpha	dice	Reactome	1e+05	2582	1278.22	1278	32.9139005358655	2.02034428794992	39.6118350840643
GSE84133_mouse_alpha	dice	STRING	20000	321	99.3	100	9.98230758123915	3.21	22.2092936122971
GSE84133_mouse_alpha	dice	STRING	50000	538	223.86	222.5	15.3964576799636	2.41797752808989	20.403394503452
GSE84133_mouse_alpha	dice	STRING	1e+05	809	389.12	388.5	18.4862930384388	2.08236808236808	22.7130446935434
GSE84133_mouse_alpha	dice	OmniPath	20000	430	84.49	84	9.29048062820381	5.11904761904762	37.1896798268013
GSE84133_mouse_alpha	dice	OmniPath	50000	463	150.3	149	11.0887148019775	3.10738255033557	28.1998415131241
GSE84133_mouse_alpha	dice	OmniPath	1e+05	501	214	213	14.0712472794703	2.35211267605634	20.3962018646867
