dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_mouse_beta	weighted_rank	HIPPIE	20000	529	172.5	172	13.0170827931778	3.07558139534884	27.3870886176464
GSE84133_mouse_beta	weighted_rank	HIPPIE	50000	823	367.51	366	19.7071975776272	2.24863387978142	23.1128752936998
GSE84133_mouse_beta	weighted_rank	HIPPIE	1e+05	1254	676.55	678	24.5362543550921	1.84955752212389	23.5345620257706
GSE84133_mouse_beta	weighted_rank	Reactome	20000	882	280.57	281.5	16.155966468313	3.13321492007105	37.2264946934371
GSE84133_mouse_beta	weighted_rank	Reactome	50000	1539	583.4	585	21.7965802155042	2.63076923076923	43.8417398762522
GSE84133_mouse_beta	weighted_rank	Reactome	1e+05	2411	1011.1	1008	28.2873066440005	2.39186507936508	49.4886281545969
GSE84133_mouse_beta	weighted_rank	STRING	20000	276	61.24	62	7.11254404754606	4.45161290322581	30.1945405981838
GSE84133_mouse_beta	weighted_rank	STRING	50000	460	129.13	128	9.98246442315704	3.59375	33.1451218831752
GSE84133_mouse_beta	weighted_rank	STRING	1e+05	696	238.36	239	13.3367571361666	2.91213389121339	34.3141886237826
GSE84133_mouse_beta	weighted_rank	OmniPath	20000	423	59.26	59	7.06766716759633	7.16949152542373	51.465355027988
GSE84133_mouse_beta	weighted_rank	OmniPath	50000	450	95.91	97	9.28678326625228	4.63917525773196	38.1283798542759
GSE84133_mouse_beta	weighted_rank	OmniPath	1e+05	482	150.02	150	10.3406425762082	3.21333333333333	32.1043878611396
