dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_mouse_delta	euclidean	HIPPIE	20000	55	48.06	48	6.68908352346107	1.14583333333333	1.03751133853522
GSE84133_mouse_delta	euclidean	HIPPIE	50000	135	120.31	119	10.0591131605007	1.13445378151261	1.46036730729738
GSE84133_mouse_delta	euclidean	HIPPIE	1e+05	265	251.81	251	15.3502508780867	1.05577689243028	0.859269343853488
GSE84133_mouse_delta	euclidean	Reactome	20000	127	71.83	72.5	9.13208905481383	1.75172413793103	6.04133398928234
GSE84133_mouse_delta	euclidean	Reactome	50000	284	173.61	173	10.0633297700416	1.64161849710983	10.9695302173868
GSE84133_mouse_delta	euclidean	Reactome	1e+05	521	342.98	341.5	14.6886749476313	1.52562225475842	12.119541118221
GSE84133_mouse_delta	euclidean	STRING	20000	19	11.52	11	3.26747052570695	1.72727272727273	2.28923258561962
GSE84133_mouse_delta	euclidean	STRING	50000	53	34.38	33	5.80104483796852	1.60606060606061	3.20976660585864
GSE84133_mouse_delta	euclidean	STRING	1e+05	133	77.1	75	9.77990105504471	1.77333333333333	5.71580424846583
GSE84133_mouse_delta	euclidean	OmniPath	20000	8	6.14	6	2.4985652448612	1.33333333333333	0.744427228316518
GSE84133_mouse_delta	euclidean	OmniPath	50000	25	16.25	16	4.55355339101767	1.5625	1.92157623917625
GSE84133_mouse_delta	euclidean	OmniPath	1e+05	60	34.13	34	6.05972796669149	1.76470588235294	4.2691685406011
