dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_mouse_endothelial	kendall	HIPPIE	20000	443	154.4	153	12.6187290656517	2.89542483660131	22.8707660255241
GSE84133_mouse_endothelial	kendall	HIPPIE	50000	717	337.28	337	17.8778571920065	2.12759643916914	21.2396819105245
GSE84133_mouse_endothelial	kendall	HIPPIE	1e+05	1090	614.97	615	23.9120674492393	1.77235772357724	19.8657017427873
GSE84133_mouse_endothelial	kendall	Reactome	20000	638	200.04	199	11.5224155716612	3.20603015075377	38.0093911104144
GSE84133_mouse_endothelial	kendall	Reactome	50000	1096	425.77	428	16.6453530385444	2.5607476635514	40.265291967554
GSE84133_mouse_endothelial	kendall	Reactome	1e+05	1757	782.65	781	22.4869771515458	2.24967989756722	43.329523280679
GSE84133_mouse_endothelial	kendall	STRING	20000	325	61.65	61	8.10209475345354	5.32786885245902	32.5039397851705
GSE84133_mouse_endothelial	kendall	STRING	50000	481	129.28	129	12.0546566717907	3.72868217054264	29.1771063727652
GSE84133_mouse_endothelial	kendall	STRING	1e+05	687	236.08	235	14.9251871720663	2.92340425531915	30.2120164257594
GSE84133_mouse_endothelial	kendall	OmniPath	20000	350	50.59	50	6.96324404834181	7	42.9986365437385
GSE84133_mouse_endothelial	kendall	OmniPath	50000	445	95.77	95	9.42686361287558	4.68421052631579	37.0462557157407
GSE84133_mouse_endothelial	kendall	OmniPath	1e+05	551	157.25	157	11.0228183897098	3.50955414012739	35.7213542017148
