dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_mouse_gamma	bicor	HIPPIE	20000	365	132.65	134.5	11.6795383539597	2.71375464684015	19.893765742995
GSE84133_mouse_gamma	bicor	HIPPIE	50000	582	293.35	293.5	16.7960884094656	1.98296422487223	17.1855489780185
GSE84133_mouse_gamma	bicor	HIPPIE	1e+05	874	547.02	547	22.5876429970375	1.59780621572212	14.4760566670407
GSE84133_mouse_gamma	bicor	Reactome	20000	524	182.22	183	11.1930534013041	2.86338797814208	30.5350102198369
GSE84133_mouse_gamma	bicor	Reactome	50000	889	394.04	395.5	16.9132785082902	2.24778761061947	29.264580474885
GSE84133_mouse_gamma	bicor	Reactome	1e+05	1432	742.88	743	23.5390412856273	1.92732166890982	29.2756188171848
GSE84133_mouse_gamma	bicor	STRING	20000	170	34.66	35	5.55090310242624	4.85714285714286	24.3816181804442
GSE84133_mouse_gamma	bicor	STRING	50000	279	88.92	88	9.56601729397804	3.17045454545455	19.8703383193399
GSE84133_mouse_gamma	bicor	STRING	1e+05	441	175.63	174	13.7036860041746	2.53448275862069	19.364862849248
GSE84133_mouse_gamma	bicor	OmniPath	20000	324	43.13	42	6.7728737018948	7.71428571428571	41.4698416598885
GSE84133_mouse_gamma	bicor	OmniPath	50000	386	79.06	78	9.39355033407432	4.94871794871795	32.6756113592749
GSE84133_mouse_gamma	bicor	OmniPath	1e+05	448	131.95	131.5	10.686888974795	3.40684410646388	29.5736206060905
