dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE84133_mouse_gamma	euclidean	HIPPIE	20000	49	40.3	40	5.46337668923577	1.225	1.59242177409096
GSE84133_mouse_gamma	euclidean	HIPPIE	50000	113	102.09	103	9.94235404923824	1.09708737864078	1.0973256379696
GSE84133_mouse_gamma	euclidean	HIPPIE	1e+05	257	215.86	214.5	13.0376455704319	1.1981351981352	3.15547771089141
GSE84133_mouse_gamma	euclidean	Reactome	20000	89	58.14	58	7.17180224732581	1.53448275862069	4.30296303993978
GSE84133_mouse_gamma	euclidean	Reactome	50000	222	153.85	154	10.6717554149429	1.44155844155844	6.38601592242025
GSE84133_mouse_gamma	euclidean	Reactome	1e+05	493	307.55	306	14.141689210889	1.61111111111111	13.113709206479
GSE84133_mouse_gamma	euclidean	STRING	20000	25	18.05	18	3.87265732378618	1.38888888888889	1.79463335351479
GSE84133_mouse_gamma	euclidean	STRING	50000	73	46.61	46	5.24143360757591	1.58695652173913	5.03488205247056
GSE84133_mouse_gamma	euclidean	STRING	1e+05	148	99.8	100	9.15963917951957	1.48	5.26221601695539
GSE84133_mouse_gamma	euclidean	OmniPath	20000	9	4.75	5	1.98669818970313	1.8	2.13922780119665
GSE84133_mouse_gamma	euclidean	OmniPath	50000	16	12.57	12	3.86712379742962	1.33333333333333	0.886964105540101
GSE84133_mouse_gamma	euclidean	OmniPath	1e+05	35	27.98	28	5.47718869125357	1.25	1.28167941542896
