dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_acinar	bicor	HIPPIE	20000	1448	314.21	312	17.6362201910234	4.64102564102564	64.2875847386552
GSE85241_acinar	bicor	HIPPIE	50000	1981	687.71	691	25.0342371623948	2.86685962373372	51.6608511619725
GSE85241_acinar	bicor	HIPPIE	1e+05	2636	1205.3	1206	32.5695836291743	2.18573797678275	43.9274881831295
GSE85241_acinar	bicor	Reactome	20000	2593	475.98	476	18.4648068202484	5.44747899159664	114.651619191515
GSE85241_acinar	bicor	Reactome	50000	3865	1001.28	1003	27.4163852799413	3.85343968095713	104.452865348927
GSE85241_acinar	bicor	Reactome	1e+05	5446	1777.32	1776	36.6569904587781	3.06644144144144	100.081320208912
GSE85241_acinar	bicor	STRING	20000	678	69.81	69.5	8.2776259222733	9.75539568345324	73.4739653266394
GSE85241_acinar	bicor	STRING	50000	994	174.83	176	13.9284281636914	5.64772727272727	58.8128100581667
GSE85241_acinar	bicor	STRING	1e+05	1311	328.84	329.5	18.4060376567642	3.97875569044006	53.3607514183834
GSE85241_acinar	bicor	OmniPath	20000	1321	127.96	128	11.1327345148341	10.3203125	107.165045426198
GSE85241_acinar	bicor	OmniPath	50000	1445	189.57	191	13.795955343447	7.56544502617801	90.9998596506274
GSE85241_acinar	bicor	OmniPath	1e+05	1526	285.56	286.5	15.371047163713	5.32635253054101	80.6997719015754
