dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_alpha	binomial	HIPPIE	20000	28	22.26	22	5.15344348935542	1.27272727272727	1.11381836472179
GSE85241_alpha	binomial	HIPPIE	50000	64	60.09	61	6.94872272254027	1.04918032786885	0.562693340362645
GSE85241_alpha	binomial	HIPPIE	1e+05	133	122.65	122	10.3984993089766	1.09016393442623	0.995335931894058
GSE85241_alpha	binomial	Reactome	20000	79	45.94	45	6.28581857449888	1.75555555555556	5.25945819278368
GSE85241_alpha	binomial	Reactome	50000	182	112.35	112	9.53396374266573	1.625	7.30546096880012
GSE85241_alpha	binomial	Reactome	1e+05	330	227.86	228	13.0027347550856	1.44736842105263	7.85527059682973
GSE85241_alpha	binomial	STRING	20000	36	16.01	15	4.78527835019959	2.4	4.17739544851476
GSE85241_alpha	binomial	STRING	50000	75	40.59	40	7.24338081675716	1.875	4.75054409957217
GSE85241_alpha	binomial	STRING	1e+05	124	77.52	76	8.68352672383959	1.63157894736842	5.35266389776802
GSE85241_alpha	binomial	OmniPath	20000	6	3.5	3	1.85047086554812	2	1.35100749033381
GSE85241_alpha	binomial	OmniPath	50000	19	8.55	8	2.63762596041795	2.375	3.96189609778641
GSE85241_alpha	binomial	OmniPath	1e+05	35	19.16	20	4.46698325427121	1.75	3.54601732273212
