dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_alpha	cosine	HIPPIE	20000	1209	371.55	369	18.3332644626806	3.27642276422764	45.6792625069433
GSE85241_alpha	cosine	HIPPIE	50000	1689	748	743.5	28.558287021034	2.27168796234028	32.9501555645451
GSE85241_alpha	cosine	HIPPIE	1e+05	2352	1289.56	1287	37.6027400677937	1.82750582750583	28.2543239690654
GSE85241_alpha	cosine	Reactome	20000	1752	539.5	538.5	19.2707975020142	3.25348189415042	62.9190359077391
GSE85241_alpha	cosine	Reactome	50000	2641	1039.49	1042.5	26.9370740726598	2.53333333333333	59.453747488688
GSE85241_alpha	cosine	Reactome	1e+05	3929	1721.85	1719	32.2265888716605	2.28563118091914	68.4884772878004
GSE85241_alpha	cosine	STRING	20000	472	73.78	73	7.38081049996297	6.46575342465753	53.953424221093
GSE85241_alpha	cosine	STRING	50000	684	176.95	176.5	14.088733947464	3.87535410764873	35.9897491066804
GSE85241_alpha	cosine	STRING	1e+05	941	307.56	307.5	18.8697395505892	3.06016260162602	33.5690907816595
GSE85241_alpha	cosine	OmniPath	20000	980	134.42	134.5	11.1002593472296	7.28624535315985	76.1765985414603
GSE85241_alpha	cosine	OmniPath	50000	1108	206.44	206	14.2320736082947	5.37864077669903	63.3470585392809
GSE85241_alpha	cosine	OmniPath	1e+05	1253	304.33	302.5	16.6357622566141	4.14214876033058	57.0259411841995
