dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_alpha	spearman	HIPPIE	20000	1166	338.71	338	17.9203033659387	3.44970414201183	46.1649550851042
GSE85241_alpha	spearman	HIPPIE	50000	1631	701.73	699.5	25.7065235598934	2.33166547533953	36.1491898286014
GSE85241_alpha	spearman	HIPPIE	1e+05	2233	1212.58	1215	34.3014503330325	1.83786008230453	29.7485963448411
GSE85241_alpha	spearman	Reactome	20000	1675	521.18	521	18.782314914178	3.21497120921305	61.4311923355639
GSE85241_alpha	spearman	Reactome	50000	2655	1015.76	1015.5	26.4331136067905	2.61447562776957	62.0146390767559
GSE85241_alpha	spearman	Reactome	1e+05	3937	1729.46	1728.5	35.6108087098524	2.27769742551345	61.990729218942
GSE85241_alpha	spearman	STRING	20000	511	85.05	85	9.18538034711749	6.01176470588235	46.3726034092502
GSE85241_alpha	spearman	STRING	50000	743	193.8	194	13.9646017132642	3.8298969072165	39.3280102989508
GSE85241_alpha	spearman	STRING	1e+05	1054	343.94	345	17.2865452437625	3.05507246376812	41.0758766420498
GSE85241_alpha	spearman	OmniPath	20000	981	129.99	130	11.4057357535938	7.54615384615385	74.6124597645406
GSE85241_alpha	spearman	OmniPath	50000	1142	200.67	200	12.9988771853883	5.71	72.4162546176008
GSE85241_alpha	spearman	OmniPath	1e+05	1258	296.39	294	15.5958392534741	4.27891156462585	61.6581117804094
