dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_alpha	zi_kendall	HIPPIE	20000	1133	304.31	305.5	16.7752192175834	3.70867430441899	49.3996525023879
GSE85241_alpha	zi_kendall	HIPPIE	50000	1558	612.72	611	24.1736478944584	2.54991816693944	39.1037382577537
GSE85241_alpha	zi_kendall	HIPPIE	1e+05	2149	1064.02	1062.5	33.493849880209	2.02258823529412	32.3934096522328
GSE85241_alpha	zi_kendall	Reactome	20000	1639	452.06	450	16.9412651430306	3.64222222222222	70.0620638410992
GSE85241_alpha	zi_kendall	Reactome	50000	2515	858.01	857.5	24.7873766341668	2.93294460641399	66.8481390530053
GSE85241_alpha	zi_kendall	Reactome	1e+05	3675	1459.05	1458	30.1623134310873	2.52057613168724	73.4675078906942
GSE85241_alpha	zi_kendall	STRING	20000	507	74.69	76	8.70932972406168	6.67105263157895	49.6375741528808
GSE85241_alpha	zi_kendall	STRING	50000	733	157.74	158	11.7478732225252	4.63924050632911	48.9671610429881
GSE85241_alpha	zi_kendall	STRING	1e+05	1010	277.84	276	15.5002248273039	3.65942028985507	47.235443882742
GSE85241_alpha	zi_kendall	OmniPath	20000	973	115.7	116.5	11.5509411921385	8.3519313304721	74.2190602254535
GSE85241_alpha	zi_kendall	OmniPath	50000	1098	172.47	172	13.081295923199	6.38372093023256	70.752164421158
GSE85241_alpha	zi_kendall	OmniPath	1e+05	1211	244.6	246.5	15.6334270204597	4.91277890466531	61.816260678817
