dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_beta	weighted_rank	HIPPIE	20000	1219	300.13	302.5	16.8939980974656	4.0297520661157	54.3903222137717
GSE85241_beta	weighted_rank	HIPPIE	50000	1645	631.57	633.5	24.0270281310045	2.59668508287293	42.1787494680738
GSE85241_beta	weighted_rank	HIPPIE	1e+05	2190	1094.28	1096	29.8122339473125	1.99817518248175	36.7540386921852
GSE85241_beta	weighted_rank	Reactome	20000	1800	394.23	392.5	17.587791334912	4.5859872611465	79.9287399555129
GSE85241_beta	weighted_rank	Reactome	50000	2736	804.08	802.5	23.6970270479039	3.40934579439252	81.5258384984155
GSE85241_beta	weighted_rank	Reactome	1e+05	3875	1429.51	1428.5	30.6414570294705	2.71263563178159	79.8098470855339
GSE85241_beta	weighted_rank	STRING	20000	563	81.98	82	7.63958325586104	6.86585365853659	62.9641675324324
GSE85241_beta	weighted_rank	STRING	50000	785	180.83	181	13.1970726781634	4.33701657458564	45.7806071644731
GSE85241_beta	weighted_rank	STRING	1e+05	1078	323.15	321	17.6196486968958	3.3582554517134	42.8413762944655
GSE85241_beta	weighted_rank	OmniPath	20000	1070	128.47	128	11.2926676845794	8.359375	83.3753393173607
GSE85241_beta	weighted_rank	OmniPath	50000	1193	202.88	203	15.7872727156396	5.87684729064039	62.716342324228
GSE85241_beta	weighted_rank	OmniPath	1e+05	1329	295.64	295.5	16.7895590451117	4.49746192893401	61.5477748536143
