dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_delta	bicor	HIPPIE	20000	1160	335.7	334	17.9418251833277	3.47305389221557	45.9429289705696
GSE85241_delta	bicor	HIPPIE	50000	1633	688.91	688.5	28.5940217669372	2.37182280319535	33.0170413835117
GSE85241_delta	bicor	HIPPIE	1e+05	2171	1131.33	1128	36.6471173780587	1.92464539007092	28.3697620545312
GSE85241_delta	bicor	Reactome	20000	1611	402.81	403.5	16.444393598065	3.99256505576208	73.4712406872922
GSE85241_delta	bicor	Reactome	50000	2530	854.42	854	22.1218754570532	2.96252927400468	75.7431259954846
GSE85241_delta	bicor	Reactome	1e+05	3673	1472.14	1472.5	30.3378351637727	2.49439728353141	72.5450576192764
GSE85241_delta	bicor	STRING	20000	514	82.2	82.5	10.0473625867436	6.23030303030303	42.976452404506
GSE85241_delta	bicor	STRING	50000	742	182.68	183	13.2343904623179	4.05464480874317	42.2626188635241
GSE85241_delta	bicor	STRING	1e+05	1001	315.85	315.5	17.303806435918	3.17274167987322	39.5953342715285
GSE85241_delta	bicor	OmniPath	20000	925	109.39	109.5	11.2984266357951	8.44748858447489	72.1879272478546
GSE85241_delta	bicor	OmniPath	50000	1047	167.14	168	13.1548815688667	6.23214285714286	66.8846766421934
GSE85241_delta	bicor	OmniPath	1e+05	1158	240.83	241	15.1291110115565	4.80497925311203	60.622861402723
