dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_delta	canberra	HIPPIE	20000	942	342.44	340	17.2347546450992	2.77058823529412	34.7878465546064
GSE85241_delta	canberra	HIPPIE	50000	1381	654.03	653	21.7141461129408	2.11485451761103	33.4790968163724
GSE85241_delta	canberra	HIPPIE	1e+05	1864	1003.79	1001	28.3154292807567	1.86213786213786	30.3795500139072
GSE85241_delta	canberra	Reactome	20000	1181	403.95	404	17.2189553760507	2.92326732673267	45.127592413694
GSE85241_delta	canberra	Reactome	50000	1831	757.34	756	25.5383332393965	2.42195767195767	42.0411148188687
GSE85241_delta	canberra	Reactome	1e+05	2526	1155.61	1156.5	28.4870677729918	2.18417639429313	48.1056881993045
GSE85241_delta	canberra	STRING	20000	354	83.53	84	9.22278141179205	4.21428571428571	29.3262940889158
GSE85241_delta	canberra	STRING	50000	543	158.98	159	12.0905506136575	3.41509433962264	31.7619943268928
GSE85241_delta	canberra	STRING	1e+05	711	266.84	266.5	14.4009820091646	2.66791744840525	30.8423411484954
GSE85241_delta	canberra	OmniPath	20000	702	100.93	101	10.0143886382535	6.95049504950495	60.0206384745249
GSE85241_delta	canberra	OmniPath	50000	822	143.57	145	11.9842109932742	5.66896551724138	56.6103183914863
GSE85241_delta	canberra	OmniPath	1e+05	920	188.79	189	13.6028034840713	4.86772486772487	53.7543603314005
