dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_delta	weighted_rank	HIPPIE	20000	1076	327.31	325	18.1946240256385	3.31076923076923	41.1489679009031
GSE85241_delta	weighted_rank	HIPPIE	50000	1542	660.53	660	27.7199031438248	2.33636363636364	31.7991731582354
GSE85241_delta	weighted_rank	HIPPIE	1e+05	2043	1107.14	1102.5	34.0792362507487	1.8530612244898	27.4612961720772
GSE85241_delta	weighted_rank	Reactome	20000	1445	417.46	418	16.6074219747216	3.45693779904306	61.872336450777
GSE85241_delta	weighted_rank	Reactome	50000	2285	835.4	836	24.5833975345849	2.73325358851675	58.9666256651728
GSE85241_delta	weighted_rank	Reactome	1e+05	3403	1433.48	1436	32.649185180174	2.36977715877437	60.3237106571339
GSE85241_delta	weighted_rank	STRING	20000	466	80.61	81	8.66071473944153	5.75308641975309	44.4986368440131
GSE85241_delta	weighted_rank	STRING	50000	671	176.07	175	12.6157309208253	3.83428571428571	39.2311791608523
GSE85241_delta	weighted_rank	STRING	1e+05	932	318.4	316.5	17.6326144093578	2.94470774091627	34.7991503559652
GSE85241_delta	weighted_rank	OmniPath	20000	862	113.12	113.5	10.9749761279969	7.59471365638767	68.235228146841
GSE85241_delta	weighted_rank	OmniPath	50000	997	177.21	179	12.5362464377291	5.56983240223464	65.3935772619116
GSE85241_delta	weighted_rank	OmniPath	1e+05	1110	254.7	255	15.4635446169762	4.35294117647059	55.3107338055621
