dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_delta	zi_kendall	HIPPIE	20000	998	239.89	240	14.9151776808902	4.15833333333333	50.8280904337676
GSE85241_delta	zi_kendall	HIPPIE	50000	1462	505.5	503	24.3702501199534	2.9065606361829	39.248673907407
GSE85241_delta	zi_kendall	HIPPIE	1e+05	1957	889.15	885	32.2817066751215	2.21129943502825	33.0791060939463
GSE85241_delta	zi_kendall	Reactome	20000	1365	321.98	322	16.1050716649549	4.23913043478261	64.7634497814525
GSE85241_delta	zi_kendall	Reactome	50000	2146	668.99	672	23.0390511694357	3.19345238095238	64.1089769338871
GSE85241_delta	zi_kendall	Reactome	1e+05	3116	1189.65	1194	28.0015782383491	2.60971524288107	68.7943366478466
GSE85241_delta	zi_kendall	STRING	20000	462	63.13	62	7.65368466092567	7.45161290322581	52.1147679412963
GSE85241_delta	zi_kendall	STRING	50000	650	134.5	133	12.33087608609	4.88721804511278	41.8056264940914
GSE85241_delta	zi_kendall	STRING	1e+05	898	247.88	246.5	16.7641271647515	3.64300202839757	38.7804264195127
GSE85241_delta	zi_kendall	OmniPath	20000	821	79.13	79	9.78315910226354	10.3924050632911	75.8313334420119
GSE85241_delta	zi_kendall	OmniPath	50000	933	122.66	122	12.1756670735886	7.64754098360656	66.5540536795547
GSE85241_delta	zi_kendall	OmniPath	1e+05	1032	177.37	179	13.4469815620946	5.76536312849162	63.5555270194685
