dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_duct	binomial	HIPPIE	20000	29	20.04	20	4.36681702262539	1.45	2.05183774671033
GSE85241_duct	binomial	HIPPIE	50000	67	48.29	48	6.87301119075786	1.39583333333333	2.72224203929121
GSE85241_duct	binomial	HIPPIE	1e+05	134	94.18	94	10.1178709781907	1.42553191489362	3.93561057319598
GSE85241_duct	binomial	Reactome	20000	91	41.18	41.5	5.37367319776367	2.19277108433735	9.27112575821196
GSE85241_duct	binomial	Reactome	50000	180	97.08	96	9.84493922189611	1.875	8.42260151444895
GSE85241_duct	binomial	Reactome	1e+05	317	186.02	185.5	14.6363184640748	1.7088948787062	8.94897171863903
GSE85241_duct	binomial	STRING	20000	54	21.33	21	4.68406928327336	2.57142857142857	6.97470469035617
GSE85241_duct	binomial	STRING	50000	96	45.3	45	6.17178329908861	2.13333333333333	8.21480559881078
GSE85241_duct	binomial	STRING	1e+05	177	84.63	84	8.28733364779644	2.10714285714286	11.1459250858762
GSE85241_duct	binomial	OmniPath	20000	10	4.34	4	2.24382429676378	2.5	2.52247914783849
GSE85241_duct	binomial	OmniPath	50000	17	9.04	9	3.21586973956007	1.88888888888889	2.47522463428165
GSE85241_duct	binomial	OmniPath	1e+05	34	16.37	16	4.1915137932241	2.125	4.20611761519197
