dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_endothelial	jaccard	HIPPIE	20000	307	243.14	242	14.2332801077708	1.26859504132231	4.48666783176249
GSE85241_endothelial	jaccard	HIPPIE	50000	1288	708.17	710.5	26.3634484493477	1.8128078817734	21.9937084905274
GSE85241_endothelial	jaccard	HIPPIE	1e+05	2050	1345.18	1346	31.6930926419641	1.52303120356612	22.2389152097692
GSE85241_endothelial	jaccard	Reactome	20000	534	303.7	305	14.8986474879332	1.75081967213115	15.4577789820537
GSE85241_endothelial	jaccard	Reactome	50000	2123	982.4	983	26.5143376498471	2.15971515768057	43.0182347024074
GSE85241_endothelial	jaccard	Reactome	1e+05	3354	1786.46	1792	37.2364598128493	1.87165178571429	42.0969127537491
GSE85241_endothelial	jaccard	STRING	20000	242	109.23	109	9.44506177423906	2.22018348623853	14.0570811682909
GSE85241_endothelial	jaccard	STRING	50000	596	208.64	207.5	13.8334392109858	2.87228915662651	28.0017133911557
GSE85241_endothelial	jaccard	STRING	1e+05	896	398.5	400.5	18.9733997741548	2.23720349563046	26.2209201261697
GSE85241_endothelial	jaccard	OmniPath	20000	46	26.57	27	5.21701760848789	1.7037037037037	3.72435009005684
GSE85241_endothelial	jaccard	OmniPath	50000	757	211.5	211	14.0471788029922	3.58767772511848	38.8334204077906
GSE85241_endothelial	jaccard	OmniPath	1e+05	839	308.37	310.5	15.1768397450347	2.70209339774557	34.9631417946284
