dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_endothelial	spearman	HIPPIE	20000	546	162.05	162	12.3242185811663	3.37037037037037	31.1541050226704
GSE85241_endothelial	spearman	HIPPIE	50000	905	350.64	350.5	19.090174108026	2.58202567760342	29.0390227382438
GSE85241_endothelial	spearman	HIPPIE	1e+05	1282	626.04	627	24.3969363865733	2.04465709728868	26.8869824311631
GSE85241_endothelial	spearman	Reactome	20000	701	215.48	214.5	13.7168185491794	3.26806526806527	35.3959628655325
GSE85241_endothelial	spearman	Reactome	50000	1215	444.49	444	19.7987322316303	2.73648648648649	38.9171382786337
GSE85241_endothelial	spearman	Reactome	1e+05	1836	789.37	788	24.7862192894896	2.32994923857868	42.2262866222528
GSE85241_endothelial	spearman	STRING	20000	257	42.99	43	5.80924898221566	5.97674418604651	36.8395296285572
GSE85241_endothelial	spearman	STRING	50000	397	98.13	98	9.89506049613757	4.05102040816327	30.2039588455938
GSE85241_endothelial	spearman	STRING	1e+05	559	179.78	179	14.6312105866987	3.12290502793296	25.9185661878691
GSE85241_endothelial	spearman	OmniPath	20000	496	66.61	67	8.04519431183309	7.40298507462687	53.372234822028
GSE85241_endothelial	spearman	OmniPath	50000	679	114.03	113	11.1992559276647	6.00884955752212	50.4471014546953
GSE85241_endothelial	spearman	OmniPath	1e+05	842	171.82	171	13.2141491354433	4.92397660818713	50.7168485182619
