dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_mesenchymal	zi_kendall	HIPPIE	20000	1173	314.44	315.5	15.1399665078423	3.71790808240887	56.708183571957
GSE85241_mesenchymal	zi_kendall	HIPPIE	50000	1599	627.42	625	19.7520897756427	2.5584	49.18871932215
GSE85241_mesenchymal	zi_kendall	HIPPIE	1e+05	2139	1066.61	1068	27.4303139102002	2.00280898876404	39.0950684527611
GSE85241_mesenchymal	zi_kendall	Reactome	20000	1748	450.38	451	17.6748294464076	3.87583148558758	73.4162671235135
GSE85241_mesenchymal	zi_kendall	Reactome	50000	2641	874.95	877	25.4417040119231	3.01140250855188	69.4155548375358
GSE85241_mesenchymal	zi_kendall	Reactome	1e+05	3683	1419.01	1419	35.0982732891347	2.59548978153629	64.5043128289977
GSE85241_mesenchymal	zi_kendall	STRING	20000	531	70.96	71	8.42305638042859	7.47887323943662	54.6167542068134
GSE85241_mesenchymal	zi_kendall	STRING	50000	768	147.3	147	11.597195759965	5.22448979591837	53.5215592499298
GSE85241_mesenchymal	zi_kendall	STRING	1e+05	1028	254.3	253.5	15.5981739412994	4.05522682445759	49.6019600058101
GSE85241_mesenchymal	zi_kendall	OmniPath	20000	1036	115.63	116	10.5377196467516	8.93103448275862	87.3405282027705
GSE85241_mesenchymal	zi_kendall	OmniPath	50000	1185	175.82	176.5	13.327559355855	6.71388101983003	75.7212909771549
GSE85241_mesenchymal	zi_kendall	OmniPath	1e+05	1320	251.56	251	14.5194540343136	5.25896414342629	73.586788971195
