dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE85241_pp	bicor	HIPPIE	20000	1056	297.99	299.5	17.4231327709903	3.52587646076795	43.5059532612927
GSE85241_pp	bicor	HIPPIE	50000	1435	566.56	571	22.307003927969	2.51313485113835	38.9312703222835
GSE85241_pp	bicor	HIPPIE	1e+05	1817	910.45	909	27.5557744777879	1.998899889989	32.8987305630168
GSE85241_pp	bicor	Reactome	20000	1388	385.91	384.5	15.7236841237746	3.60988296488947	63.7312472135467
GSE85241_pp	bicor	Reactome	50000	2037	733.88	734	20.315332320017	2.77520435967302	64.1446558428196
GSE85241_pp	bicor	Reactome	1e+05	2840	1202.94	1203	29.469662537956	2.36076475477972	55.5506870121609
GSE85241_pp	bicor	STRING	20000	477	84.25	85.5	8.83104601603761	5.57894736842105	44.4737802619018
GSE85241_pp	bicor	STRING	50000	647	174.31	175	13.0211133909276	3.69714285714286	36.3018112052802
GSE85241_pp	bicor	STRING	1e+05	826	289.73	289	16.6526334860346	2.85813148788927	32.2033148960932
GSE85241_pp	bicor	OmniPath	20000	904	113.74	114	10.5232978661538	7.92982456140351	75.0962302931402
GSE85241_pp	bicor	OmniPath	50000	1020	176.56	176.5	12.4440728660254	5.77903682719547	67.7784523668892
GSE85241_pp	bicor	OmniPath	1e+05	1117	251.95	251.5	14.5125337678724	4.44135188866799	59.6070964475572
