dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Astro	spearman	HIPPIE	20000	271	123.48	123	11.1014422577438	2.20325203252033	13.2883634914281
GSE87544_Astro	spearman	HIPPIE	50000	517	280.26	280	14.7590889647941	1.84642857142857	16.0402854515419
GSE87544_Astro	spearman	HIPPIE	1e+05	865	514.83	517	20.5096946773368	1.67311411992263	17.0733892195352
GSE87544_Astro	spearman	Reactome	20000	249	88.79	88	8.9038579766687	2.82954545454545	17.9933238400486
GSE87544_Astro	spearman	Reactome	50000	535	234.97	233	13.6259222651444	2.29613733905579	22.0190600064913
GSE87544_Astro	spearman	Reactome	1e+05	923	449	446.5	17.5084395234257	2.06718924972004	27.0726582666493
GSE87544_Astro	spearman	STRING	20000	184	50.98	50.5	6.84604139837635	3.64356435643564	19.430206780746
GSE87544_Astro	spearman	STRING	50000	309	99.16	98.5	8.49565545535844	3.13705583756345	24.699683397312
GSE87544_Astro	spearman	STRING	1e+05	460	163.89	164	11.5844680063393	2.80487804878049	25.5609493537348
GSE87544_Astro	spearman	OmniPath	20000	170	20.73	20.5	4.38513328638868	8.29268292682927	34.0400143510642
GSE87544_Astro	spearman	OmniPath	50000	205	40.25	41	5.11163260405009	5	32.2304071441801
GSE87544_Astro	spearman	OmniPath	1e+05	245	69.75	69	7.62024814675886	3.55072463768116	22.9979387317642
