dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Ependy	euclidean	HIPPIE	20000	42	44.49	45	6.04109662932555	0.933333333333333	-0.412176820333032
GSE87544_Ependy	euclidean	HIPPIE	50000	104	99.98	100.5	8.52089529132101	1.03482587064677	0.471781410586583
GSE87544_Ependy	euclidean	HIPPIE	1e+05	204	185.56	185.5	12.8639500978981	1.09973045822102	1.43346327214166
GSE87544_Ependy	euclidean	Reactome	20000	98	64.06	64	8.11759530497508	1.53125	4.18104114887311
GSE87544_Ependy	euclidean	Reactome	50000	200	130.49	130	9.70940916135613	1.53846153846154	7.15903499840679
GSE87544_Ependy	euclidean	Reactome	1e+05	364	232.92	230.5	14.6733318188701	1.57917570498915	8.93321309829776
GSE87544_Ependy	euclidean	STRING	20000	47	21.75	22	4.35629116649389	2.13636363636364	5.79621495326313
GSE87544_Ependy	euclidean	STRING	50000	75	39.74	40	6.15395085381019	1.875	5.72965251715797
GSE87544_Ependy	euclidean	STRING	1e+05	124	73.9	75	9.69171259010981	1.65333333333333	5.16936501512911
GSE87544_Ependy	euclidean	OmniPath	20000	17	6.99	7	2.36769077287546	2.42857142857143	4.22774802971559
GSE87544_Ependy	euclidean	OmniPath	50000	26	13.8	13	3.61813613493316	2	3.37190187019466
GSE87544_Ependy	euclidean	OmniPath	1e+05	41	23.63	23	4.76658190219187	1.78260869565217	3.64412074656948
