dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Epith1	weighted_rank	HIPPIE	20000	181	82.96	83	8.67356368920567	2.18072289156627	11.3033123999552
GSE87544_Epith1	weighted_rank	HIPPIE	50000	362	194.37	194	12.8799076162067	1.8659793814433	13.0148449037842
GSE87544_Epith1	weighted_rank	HIPPIE	1e+05	619	381.03	381.5	20.0390805047225	1.62254259501966	11.8752953731544
GSE87544_Epith1	weighted_rank	Reactome	20000	304	85.37	85	9.54908108117998	3.57647058823529	22.8953967550754
GSE87544_Epith1	weighted_rank	Reactome	50000	551	219.76	219	12.6946421530479	2.51598173515982	26.0928977758127
GSE87544_Epith1	weighted_rank	Reactome	1e+05	961	455.13	453	19.373341571251	2.12141280353201	26.1116544164319
GSE87544_Epith1	weighted_rank	STRING	20000	119	30.61	30	4.75860729986657	3.96666666666667	18.5747624105226
GSE87544_Epith1	weighted_rank	STRING	50000	199	67.61	68	7.53831291577642	2.92647058823529	17.4296293438579
GSE87544_Epith1	weighted_rank	STRING	1e+05	318	126.91	125.5	11.3841064114791	2.53386454183267	16.785682871632
GSE87544_Epith1	weighted_rank	OmniPath	20000	136	16.31	16	3.59768444048854	8.5	33.2686209643631
GSE87544_Epith1	weighted_rank	OmniPath	50000	178	32.28	32	5.49762115681304	5.5625	26.5060097528571
GSE87544_Epith1	weighted_rank	OmniPath	1e+05	237	58.24	58.5	7.31418988934344	4.05128205128205	24.4401639422089
