dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Epith2	cosine	HIPPIE	20000	331	188.46	189.5	13.803395863835	1.7467018469657	10.3264444058622
GSE87544_Epith2	cosine	HIPPIE	50000	646	383.56	383	18.2432054599663	1.68668407310705	14.385629793838
GSE87544_Epith2	cosine	HIPPIE	1e+05	1027	649.91	651	25.0950093634072	1.57757296466974	15.0264936959881
GSE87544_Epith2	cosine	Reactome	20000	237	113.71	113	9.84351809491142	2.09734513274336	12.5249934841624
GSE87544_Epith2	cosine	Reactome	50000	527	264.54	266	14.176677389931	1.9812030075188	18.5135058646684
GSE87544_Epith2	cosine	Reactome	1e+05	978	519.52	521	18.709625891773	1.87715930902111	24.5050330055827
GSE87544_Epith2	cosine	STRING	20000	205	78.56	79	7.42548165291503	2.59493670886076	17.0278516478946
GSE87544_Epith2	cosine	STRING	50000	349	155.65	156.5	11.4047438295729	2.23003194888179	16.9534715456419
GSE87544_Epith2	cosine	STRING	1e+05	535	254.71	254	14.5812214921117	2.10629921259843	19.2226693868984
GSE87544_Epith2	cosine	OmniPath	20000	128	31.73	32	5.24328334176403	4	18.3606327800724
GSE87544_Epith2	cosine	OmniPath	50000	195	68.74	69	7.69837973245348	2.82608695652174	16.4008537364993
GSE87544_Epith2	cosine	OmniPath	1e+05	289	112.4	113.5	9.71929248786384	2.54625550660793	18.1700468650897
