dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Epith2	euclidean	HIPPIE	20000	47	41.65	41	7.08444732773093	1.14634146341463	0.755175351372617
GSE87544_Epith2	euclidean	HIPPIE	50000	109	108.04	107	10.3931990194832	1.01869158878505	0.0923680955402057
GSE87544_Epith2	euclidean	HIPPIE	1e+05	222	223.63	223.5	13.9114479418349	0.993288590604027	-0.117169686923689
GSE87544_Epith2	euclidean	Reactome	20000	135	50.31	50	6.87212933639652	2.7	12.3236912249978
GSE87544_Epith2	euclidean	Reactome	50000	288	140.99	139.5	11.506252143241	2.06451612903226	12.7765321122705
GSE87544_Epith2	euclidean	Reactome	1e+05	548	301.19	300	15.00753682708	1.82666666666667	16.4457367550583
GSE87544_Epith2	euclidean	STRING	20000	57	15.73	15	3.44906662824316	3.8	11.9655560324799
GSE87544_Epith2	euclidean	STRING	50000	98	37.37	37	5.16330291283564	2.64864864864865	11.7424836434209
GSE87544_Epith2	euclidean	STRING	1e+05	189	78.7	79	8.20630454854281	2.39240506329114	13.4408855225323
GSE87544_Epith2	euclidean	OmniPath	20000	23	8.28	8	2.49880779653826	2.875	5.8908092172565
GSE87544_Epith2	euclidean	OmniPath	50000	34	19.8	20	4.4244499743762	1.7	3.20943847986484
GSE87544_Epith2	euclidean	OmniPath	1e+05	53	40.09	40	6.24110680419861	1.325	2.068543353771
