dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Epith2	hamming	HIPPIE	20000	83	60.38	60	9.0907656554341	1.38333333333333	2.4882392591958
GSE87544_Epith2	hamming	HIPPIE	50000	152	126.25	127	13.2049692207597	1.19685039370079	1.95002347748892
GSE87544_Epith2	hamming	HIPPIE	1e+05	275	245.86	246	16.344164621409	1.11788617886179	1.78289932064377
GSE87544_Epith2	hamming	Reactome	20000	160	62.87	62	7.86201069200571	2.58064516129032	12.3543459561514
GSE87544_Epith2	hamming	Reactome	50000	297	149.18	149	12.2881070860233	1.99328859060403	12.0295175624025
GSE87544_Epith2	hamming	Reactome	1e+05	536	306.52	306	14.9338473937495	1.7516339869281	15.3664353163304
GSE87544_Epith2	hamming	STRING	20000	101	26.86	27	4.92370066949934	3.74074074074074	15.0577797020181
GSE87544_Epith2	hamming	STRING	50000	155	53.34	53	6.12532415138954	2.92452830188679	16.5966726800798
GSE87544_Epith2	hamming	STRING	1e+05	235	97.94	97.5	10.1621400752544	2.41025641025641	13.4873165479929
GSE87544_Epith2	hamming	OmniPath	20000	46	11.67	11.5	3.2599652969585	4	10.530786947956
GSE87544_Epith2	hamming	OmniPath	50000	67	23.89	24	5.00887091855918	2.79166666666667	8.60673007968046
GSE87544_Epith2	hamming	OmniPath	1e+05	87	44.32	43	6.55648341319299	2.02325581395349	6.50958712320069
