dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Epith2	phi_s	HIPPIE	20000	120	41.57	41	5.73885393126924	2.92682926829268	13.6664917663541
GSE87544_Epith2	phi_s	HIPPIE	50000	279	128.93	128.5	10.4632642607314	2.17120622568093	14.3425604343391
GSE87544_Epith2	phi_s	HIPPIE	1e+05	525	292.28	290	16.8601376751272	1.81034482758621	13.8029715109218
GSE87544_Epith2	phi_s	Reactome	20000	245	49.32	49	6.6101849788448	5	29.6028024368839
GSE87544_Epith2	phi_s	Reactome	50000	451	150.56	150.5	12.4335161250679	2.99667774086379	24.1637198181025
GSE87544_Epith2	phi_s	Reactome	1e+05	803	343.6	343	17.925772879665	2.34110787172012	25.6279047538945
GSE87544_Epith2	phi_s	STRING	20000	183	33.81	34	4.94146545147093	5.38235294117647	30.1914485622055
GSE87544_Epith2	phi_s	STRING	50000	284	73.08	73	7.58478008177488	3.89041095890411	27.8083211017298
GSE87544_Epith2	phi_s	STRING	1e+05	414	131.45	131	10.9980484953955	3.16030534351145	25.6909214501368
GSE87544_Epith2	phi_s	OmniPath	20000	90	11.07	11	2.99917497072953	8.18181818181818	26.3172374970843
GSE87544_Epith2	phi_s	OmniPath	50000	154	27.67	27.5	5.28969839318926	5.6	23.8822690085045
GSE87544_Epith2	phi_s	OmniPath	1e+05	219	54.43	55	7.53745529494088	3.98181818181818	21.8336286664889
