dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_GABA13	euclidean	HIPPIE	20000	158	72.2	72	6.49164186792634	2.19444444444444	13.2169952911169
GSE87544_GABA13	euclidean	HIPPIE	50000	231	124.48	124	9.24140878674006	1.86290322580645	11.526381145788
GSE87544_GABA13	euclidean	HIPPIE	1e+05	347	211.55	212	13.106691174181	1.63679245283019	10.3344160780125
GSE87544_GABA13	euclidean	Reactome	20000	223	67.29	67	8.38022564243838	3.32835820895522	18.5806452765982
GSE87544_GABA13	euclidean	Reactome	50000	366	133.98	133.5	11.0627046576972	2.74157303370787	20.9731713156209
GSE87544_GABA13	euclidean	Reactome	1e+05	548	237.65	239	13.6480841886399	2.2928870292887	22.739455275219
GSE87544_GABA13	euclidean	STRING	20000	98	22.68	23	4.50337695961642	4.26086956521739	16.7252265745072
GSE87544_GABA13	euclidean	STRING	50000	149	42.54	42	5.97371346193074	3.54761904761905	17.8214105310621
GSE87544_GABA13	euclidean	STRING	1e+05	218	75.91	76.5	8.06425583809332	2.84967320261438	17.61972869571
GSE87544_GABA13	euclidean	OmniPath	20000	105	11.88	11	3.46491797387132	9.54545454545454	26.8750950822532
GSE87544_GABA13	euclidean	OmniPath	50000	130	19.71	19	4.35842386486888	6.84210526315789	25.30501929585
GSE87544_GABA13	euclidean	OmniPath	1e+05	170	32.72	32	5.69614436316888	5.3125	24.1005127762647
