dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_GABA8	hamming	HIPPIE	20000	251	136.79	137	10.3887030718541	1.83211678832117	10.9936725701042
GSE87544_GABA8	hamming	HIPPIE	50000	361	200.19	199.5	13.8627434718261	1.80952380952381	11.6001569477804
GSE87544_GABA8	hamming	HIPPIE	1e+05	492	292.3	294	15.7284404307559	1.6734693877551	12.6967451654965
GSE87544_GABA8	hamming	Reactome	20000	243	103.44	103	10.4023307411601	2.35922330097087	13.4162240629195
GSE87544_GABA8	hamming	Reactome	50000	440	199.7	201	12.5444663642435	2.18905472636816	19.1558566959011
GSE87544_GABA8	hamming	Reactome	1e+05	709	344.75	345	15.472605312342	2.05507246376812	23.5416074182057
GSE87544_GABA8	hamming	STRING	20000	142	54.76	54.5	6.08877091974491	2.60550458715596	14.328014824321
GSE87544_GABA8	hamming	STRING	50000	208	76.2	76	7.41824123565034	2.73684210526316	17.7670145541506
GSE87544_GABA8	hamming	STRING	1e+05	267	105.32	105.5	9.14847230167668	2.53080568720379	17.6728960495807
GSE87544_GABA8	hamming	OmniPath	20000	114	18.83	19	4.20210385017752	6	22.6481789582567
GSE87544_GABA8	hamming	OmniPath	50000	137	27.79	27	4.84360455141675	5.07407407407407	22.5472576963485
GSE87544_GABA8	hamming	OmniPath	1e+05	174	40.19	39.5	6.08474661872961	4.40506329113924	21.9910554020633
