dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_GABA8	phi_s	HIPPIE	20000	152	66.84	66.5	7.64056161667333	2.28571428571429	11.1457775321336
GSE87544_GABA8	phi_s	HIPPIE	50000	298	156.02	157	13.924021826986	1.89808917197452	10.1967665495058
GSE87544_GABA8	phi_s	HIPPIE	1e+05	515	304.19	302.5	17.2150362981748	1.70247933884298	12.2456901251118
GSE87544_GABA8	phi_s	Reactome	20000	351	72.88	72	7.99024657967703	4.875	34.8074364447514
GSE87544_GABA8	phi_s	Reactome	50000	554	179.45	178.5	13.6872535262159	3.10364145658263	27.3648763269129
GSE87544_GABA8	phi_s	Reactome	1e+05	910	357.25	357	18.7672479591334	2.54901960784314	29.4529065318283
GSE87544_GABA8	phi_s	STRING	20000	136	27.82	27	4.95714971867235	5.03703703703704	21.8230245482627
GSE87544_GABA8	phi_s	STRING	50000	204	52.83	53	7.23914024695968	3.84905660377358	20.8823140377048
GSE87544_GABA8	phi_s	STRING	1e+05	297	89.79	88	9.46262717913546	3.375	21.8977241813865
GSE87544_GABA8	phi_s	OmniPath	20000	117	10.56	10	3.04285883652034	11.7	34.9802622200245
GSE87544_GABA8	phi_s	OmniPath	50000	158	21.49	22	4.22234316679516	7.18181818181818	32.330389692985
GSE87544_GABA8	phi_s	OmniPath	1e+05	197	38.19	38	5.48955850003008	5.18421052631579	28.9294667320022
