dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu4	binomial	HIPPIE	20000	89	51.17	51	6.84320056255799	1.74509803921569	5.52811504707078
GSE87544_Glu4	binomial	HIPPIE	50000	220	125.38	123	10.4076312328401	1.78861788617886	9.09140590045482
GSE87544_Glu4	binomial	HIPPIE	1e+05	420	253.18	252	14.4790897643478	1.66666666666667	11.5214424881021
GSE87544_Glu4	binomial	Reactome	20000	231	103.23	102	8.72457923502806	2.26470588235294	14.6448323246375
GSE87544_Glu4	binomial	Reactome	50000	533	231.51	230	14.8443064621906	2.31739130434783	20.3101438769075
GSE87544_Glu4	binomial	Reactome	1e+05	901	422.55	420	19.3476305546909	2.1452380952381	24.7291263210522
GSE87544_Glu4	binomial	STRING	20000	75	11.03	11	3.23633100653168	6.81818181818182	19.7662105238597
GSE87544_Glu4	binomial	STRING	50000	151	25.93	25.5	5.29771248519185	5.92156862745098	23.6083027060444
GSE87544_Glu4	binomial	STRING	1e+05	227	52.13	52	7.04768032616392	4.36538461538461	24.8124193929185
GSE87544_Glu4	binomial	OmniPath	20000	42	6.98	7	2.66280022729927	6	13.1515686535444
GSE87544_Glu4	binomial	OmniPath	50000	81	16.68	17	4.2755589155576	4.76470588235294	15.0436472214093
GSE87544_Glu4	binomial	OmniPath	1e+05	141	33.21	33	5.62335497831332	4.27272727272727	19.1682723953398
