dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu4	euclidean	HIPPIE	20000	36	28.68	29	4.99470426622745	1.24137931034483	1.46555223489315
GSE87544_Glu4	euclidean	HIPPIE	50000	83	69.36	68	8.897304097423	1.22058823529412	1.53304864604444
GSE87544_Glu4	euclidean	HIPPIE	1e+05	164	137.55	137	11.8886882830239	1.1970802919708	2.22480389512513
GSE87544_Glu4	euclidean	Reactome	20000	79	34.76	34.5	5.51054086329651	2.28985507246377	8.02825005702522
GSE87544_Glu4	euclidean	Reactome	50000	197	86.95	87	9.27838260896714	2.26436781609195	11.8609034179774
GSE87544_Glu4	euclidean	Reactome	1e+05	434	182.56	182	12.0027942874595	2.38461538461538	20.9484553328306
GSE87544_Glu4	euclidean	STRING	20000	32	10.32	10	3.18100422489312	3.2	6.8154577822758
GSE87544_Glu4	euclidean	STRING	50000	71	23.54	23	5.1412768134703	3.08695652173913	9.23116994511041
GSE87544_Glu4	euclidean	STRING	1e+05	118	45.68	45	7.27924960057524	2.62222222222222	9.93509001178981
GSE87544_Glu4	euclidean	OmniPath	20000	9	2.89	3	1.71089792716331	3	3.57122415253051
GSE87544_Glu4	euclidean	OmniPath	50000	15	7.43	8	2.57515322678363	1.875	2.93963090089786
GSE87544_Glu4	euclidean	OmniPath	1e+05	35	15.75	16	3.70196508013588	2.1875	5.19994099979285
