dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu4	manhattan	HIPPIE	20000	28	26.85	27	4.7084171352156	1.03703703703704	0.244243440412027
GSE87544_Glu4	manhattan	HIPPIE	50000	83	66.18	66.5	8.57101057181837	1.24812030075188	1.96242903436666
GSE87544_Glu4	manhattan	HIPPIE	1e+05	152	135.15	134.5	12.3455099595609	1.13011152416357	1.36486868952308
GSE87544_Glu4	manhattan	Reactome	20000	73	33.46	33.5	5.72328223976064	2.17910447761194	6.90862311931931
GSE87544_Glu4	manhattan	Reactome	50000	185	85.54	86	8.44760440610356	2.15116279069767	11.7737520862291
GSE87544_Glu4	manhattan	Reactome	1e+05	430	182.39	183	12.3704560068811	2.34972677595628	20.0162386788543
GSE87544_Glu4	manhattan	STRING	20000	32	8.84	9	3.10333805292093	3.55555555555556	7.46293172224705
GSE87544_Glu4	manhattan	STRING	50000	71	22.4	22	5.10297991769555	3.22727272727273	9.52384700387911
GSE87544_Glu4	manhattan	STRING	1e+05	123	43.35	43	6.78437747901587	2.86046511627907	11.7402075940435
GSE87544_Glu4	manhattan	OmniPath	20000	8	2.58	2	1.59024805891688	4	3.40827330026209
GSE87544_Glu4	manhattan	OmniPath	50000	14	6.95	7	2.45515331044271	2	2.87151110686801
GSE87544_Glu4	manhattan	OmniPath	1e+05	30	14.64	15	3.45393934076685	2	4.44709605021312
