dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu4	pearson	HIPPIE	20000	202	70.21	70	6.41540916446291	2.88571428571429	20.5427271467
GSE87544_Glu4	pearson	HIPPIE	50000	407	182.03	181	12.2651308327076	2.24861878453039	18.3422421716097
GSE87544_Glu4	pearson	HIPPIE	1e+05	703	364.98	365	19.2851960809007	1.92602739726027	17.5274339229956
GSE87544_Glu4	pearson	Reactome	20000	326	115.09	117	10.3094494263635	2.78632478632479	20.4579305137922
GSE87544_Glu4	pearson	Reactome	50000	677	282.62	281	15.343725068897	2.40925266903915	25.703015286649
GSE87544_Glu4	pearson	Reactome	1e+05	1212	534.51	532	19.9512005663921	2.2781954887218	33.9573549845033
GSE87544_Glu4	pearson	STRING	20000	140	11.57	11	3.36426557041546	12.7272727272727	38.1747508666922
GSE87544_Glu4	pearson	STRING	50000	245	30.18	30	5.58746793993469	8.16666666666667	38.4467530390002
GSE87544_Glu4	pearson	STRING	1e+05	366	60.15	60	7.76338856558153	6.1	39.3964565107517
GSE87544_Glu4	pearson	OmniPath	20000	112	10.57	10	3.16628386841002	11.2	32.0343987511562
GSE87544_Glu4	pearson	OmniPath	50000	192	24.35	24	5.19979603329581	8	32.2416492736423
GSE87544_Glu4	pearson	OmniPath	1e+05	297	47.23	47	6.8133188044677	6.31914893617021	36.659080129381
