dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu5	cosine	HIPPIE	20000	222	139.89	140	10.4406886649291	1.58571428571429	7.86442375930738
GSE87544_Glu5	cosine	HIPPIE	50000	501	302.73	304	18.205257870775	1.64802631578947	10.8908097543778
GSE87544_Glu5	cosine	HIPPIE	1e+05	923	561.46	564.5	23.0609293968492	1.63507528786537	15.6775988416753
GSE87544_Glu5	cosine	Reactome	20000	298	133.84	133	10.8168592689581	2.2406015037594	15.1763091224734
GSE87544_Glu5	cosine	Reactome	50000	727	307.97	309	14.6828113620978	2.35275080906149	28.5388124703204
GSE87544_Glu5	cosine	Reactome	1e+05	1302	575.98	574	19.6355583448791	2.26829268292683	36.9747570834594
GSE87544_Glu5	cosine	STRING	20000	189	63.23	64	6.26494979705312	2.953125	20.0751808193514
GSE87544_Glu5	cosine	STRING	50000	322	115.17	114	9.43671638662603	2.82456140350877	21.9175814474116
GSE87544_Glu5	cosine	STRING	1e+05	520	180.15	180.5	12.2625940208918	2.8808864265928	27.7143644665228
GSE87544_Glu5	cosine	OmniPath	20000	51	13.93	14	3.55122684733208	3.64285714285714	10.4386460211207
GSE87544_Glu5	cosine	OmniPath	50000	140	31.49	31	5.79532204245438	4.51612903225806	18.7237222030279
GSE87544_Glu5	cosine	OmniPath	1e+05	249	60.96	61	8.32656694993304	4.08196721311475	22.5831367393872
