dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu5	kendall	HIPPIE	20000	150	46.06	47	6.4835767657033	3.19148936170213	16.0312746738528
GSE87544_Glu5	kendall	HIPPIE	50000	291	112.78	114	9.44262846474605	2.55263157894737	18.8739820342802
GSE87544_Glu5	kendall	HIPPIE	1e+05	471	222.27	221.5	13.0916389386895	2.12641083521445	18.9991490878146
GSE87544_Glu5	kendall	Reactome	20000	434	74.96	75	8.03140301214142	5.78666666666667	44.7045179350636
GSE87544_Glu5	kendall	Reactome	50000	724	174.28	173.5	12.601170380147	4.17291066282421	43.6245192641849
GSE87544_Glu5	kendall	Reactome	1e+05	1122	345.82	347	17.1525419973162	3.23342939481268	45.2516017813246
GSE87544_Glu5	kendall	STRING	20000	154	16.42	16	4.05562335628949	9.625	33.9232684876025
GSE87544_Glu5	kendall	STRING	50000	227	33.04	33	5.51933241461595	6.87878787878788	35.141931202833
GSE87544_Glu5	kendall	STRING	1e+05	322	62.09	62	7.26009572243988	5.19354838709677	35.7998034649401
GSE87544_Glu5	kendall	OmniPath	20000	112	7.55	8	2.69820366731332	14	38.7109398987676
GSE87544_Glu5	kendall	OmniPath	50000	158	14.24	14	3.64350813298825	11.2857142857143	39.4564784138671
GSE87544_Glu5	kendall	OmniPath	1e+05	235	24.98	25	5.10689769237685	9.4	41.1247713682418
