dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Glu7	zi_kendall	HIPPIE	20000	269	70.26	70	7.53124132926279	3.84285714285714	26.3887440743389
GSE87544_Glu7	zi_kendall	HIPPIE	50000	549	203.1	202	12.256929600529	2.71782178217822	28.2207707210028
GSE87544_Glu7	zi_kendall	HIPPIE	1e+05	940	438.81	436.5	19.2939489127152	2.15349369988545	25.9765381502437
GSE87544_Glu7	zi_kendall	Reactome	20000	475	94.7	94	8.77266185143346	5.0531914893617	43.3505823478034
GSE87544_Glu7	zi_kendall	Reactome	50000	846	240.74	242	11.4182381134815	3.49586776859504	53.0081781431209
GSE87544_Glu7	zi_kendall	Reactome	1e+05	1388	506.55	505.5	17.8112295754644	2.7457962413452	49.4884418992739
GSE87544_Glu7	zi_kendall	STRING	20000	187	15.59	15	3.7607623340665	12.4666666666667	45.578524983432
GSE87544_Glu7	zi_kendall	STRING	50000	314	45.06	44.5	6.47890126612234	7.0561797752809	41.5101247809202
GSE87544_Glu7	zi_kendall	STRING	1e+05	486	92.23	91.5	10.0612819232638	5.31147540983607	39.1371599566774
GSE87544_Glu7	zi_kendall	OmniPath	20000	165	12.45	13	3.49711280627291	12.6923076923077	43.6216983696851
GSE87544_Glu7	zi_kendall	OmniPath	50000	275	29.18	29	5.92440594984728	9.48275862068965	41.492767727427
GSE87544_Glu7	zi_kendall	OmniPath	1e+05	384	56.95	57	8.15924214147566	6.73684210526316	40.0833795993767
