dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_IMO	manhattan	HIPPIE	20000	57	42.29	43	5.51818847452713	1.32558139534884	2.66572989811852
GSE87544_IMO	manhattan	HIPPIE	50000	111	89.81	90	7.86719951970384	1.23333333333333	2.69346162467705
GSE87544_IMO	manhattan	HIPPIE	1e+05	195	167.54	167.5	9.9243807531419	1.16417910447761	2.76692326534395
GSE87544_IMO	manhattan	Reactome	20000	98	51.37	51	6.64337598246889	1.92156862745098	7.01902167257299
GSE87544_IMO	manhattan	Reactome	50000	209	111.98	112	9.31489520753039	1.86607142857143	10.4155761109976
GSE87544_IMO	manhattan	Reactome	1e+05	370	209.88	212	13.3524711139356	1.74528301886792	11.991787784726
GSE87544_IMO	manhattan	STRING	20000	55	26.13	26	4.63115274608555	2.11538461538462	6.23386909974026
GSE87544_IMO	manhattan	STRING	50000	95	51.82	52	7.1652641333736	1.82692307692308	6.02629563910712
GSE87544_IMO	manhattan	STRING	1e+05	166	96.55	95.5	9.48190727947525	1.73821989528796	7.32447575714361
GSE87544_IMO	manhattan	OmniPath	20000	25	9.97	10	2.90403759332319	2.5	5.1755528353201
GSE87544_IMO	manhattan	OmniPath	50000	41	19.57	19	4.43415348986897	2.15789473684211	4.83294050351722
GSE87544_IMO	manhattan	OmniPath	1e+05	62	33.82	34	5.3774313270155	1.82352941176471	5.24042024645251
