dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Macro	kendall	HIPPIE	20000	155	71.65	71	7.56570545222975	2.1830985915493	11.0168179988338
GSE87544_Macro	kendall	HIPPIE	50000	327	185.94	185.5	11.3812001639422	1.76280323450135	12.3941234639652
GSE87544_Macro	kendall	HIPPIE	1e+05	625	383.28	382	17.7582417912121	1.63612565445026	13.6117078955203
GSE87544_Macro	kendall	Reactome	20000	458	155.01	154	10.853007775625	2.97402597402597	27.9176064611775
GSE87544_Macro	kendall	Reactome	50000	866	352.19	354	16.0716168659805	2.44632768361582	31.9700254358107
GSE87544_Macro	kendall	Reactome	1e+05	1500	664.93	663.5	21.7721233125149	2.26073850791258	38.3550096613678
GSE87544_Macro	kendall	STRING	20000	148	34.04	34	5.22410883608995	4.35294117647059	21.814246903266
GSE87544_Macro	kendall	STRING	50000	259	83.01	83	8.18164365694895	3.12048192771084	21.5103477221873
GSE87544_Macro	kendall	STRING	1e+05	430	162.12	161.5	11.2054099488244	2.6625386996904	23.906309650733
GSE87544_Macro	kendall	OmniPath	20000	86	11.38	11	3.58949083359248	7.81818181818182	20.7884637290793
GSE87544_Macro	kendall	OmniPath	50000	152	27.75	28	4.7319566926816	5.42857142857143	26.2576367598977
GSE87544_Macro	kendall	OmniPath	1e+05	237	57.63	57.5	6.82635267980573	4.12173913043478	26.2761108916372
