dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Macro	rho_p	HIPPIE	20000	150	68.33	67.5	7.56928268754975	2.22222222222222	10.7896617646919
GSE87544_Macro	rho_p	HIPPIE	50000	347	185.08	185.5	11.6199758340471	1.87061994609164	13.9346245046024
GSE87544_Macro	rho_p	HIPPIE	1e+05	640	384.9	387	16.0286990089399	1.65374677002584	15.9152030902645
GSE87544_Macro	rho_p	Reactome	20000	523	172.83	173	11.1028752304905	3.02312138728324	31.5386773903729
GSE87544_Macro	rho_p	Reactome	50000	928	354.28	353.5	16.0177174630867	2.62517680339463	35.8178374242244
GSE87544_Macro	rho_p	Reactome	1e+05	1542	684.31	685	22.1517698861944	2.25109489051095	38.7188023533296
GSE87544_Macro	rho_p	STRING	20000	168	38.82	38	6.01912775989171	4.42105263157895	21.4615813375465
GSE87544_Macro	rho_p	STRING	50000	282	90.67	90.5	8.56237364427893	3.11602209944751	22.3454392378496
GSE87544_Macro	rho_p	STRING	1e+05	433	166.84	167	11.381998901331	2.59281437125748	23.3842932429801
GSE87544_Macro	rho_p	OmniPath	20000	89	12.53	12	3.57729935944292	7.41666666666667	21.3764609322236
GSE87544_Macro	rho_p	OmniPath	50000	157	29.57	29	4.75937140404236	5.41379310344828	26.7745441954304
GSE87544_Macro	rho_p	OmniPath	1e+05	239	61.22	61.5	7.02316513296167	3.88617886178862	25.3133731920426
