dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_Macro	spearman	HIPPIE	20000	167	74.55	74	7.35173311525791	2.25675675675676	12.5752660700002
GSE87544_Macro	spearman	HIPPIE	50000	361	193.13	192.5	11.2543190362499	1.87532467532468	14.9160512918902
GSE87544_Macro	spearman	HIPPIE	1e+05	646	392.64	392	17.5594344263629	1.64795918367347	14.4287107345336
GSE87544_Macro	spearman	Reactome	20000	525	174.27	174	11.7041432705247	3.01724137931034	29.9663112364033
GSE87544_Macro	spearman	Reactome	50000	923	366.63	368	15.6880286340968	2.50815217391304	35.4646216536582
GSE87544_Macro	spearman	Reactome	1e+05	1537	678.12	680	21.6245651559012	2.26029411764706	39.7177928808254
GSE87544_Macro	spearman	STRING	20000	164	38.09	38	5.83804139011769	4.31578947368421	21.5671646681254
GSE87544_Macro	spearman	STRING	50000	277	90.63	90.5	8.5359075189295	3.06077348066298	21.8336479849038
GSE87544_Macro	spearman	STRING	1e+05	444	168.35	167.5	11.0164019131072	2.65074626865672	25.0217813560374
GSE87544_Macro	spearman	OmniPath	20000	99	12.36	12	3.54058717951664	8.25	24.4705173484326
GSE87544_Macro	spearman	OmniPath	50000	171	29.78	30	5.01428263094835	5.7	28.1635500815978
GSE87544_Macro	spearman	OmniPath	1e+05	258	60.01	60	7.14848998676707	4.3	27.6967583876468
