dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE87544_OPC	dice	HIPPIE	20000	221	150.85	151	10.7020011344995	1.4635761589404	6.55484886596219
GSE87544_OPC	dice	HIPPIE	50000	482	311.27	312	16.6180229530678	1.54487179487179	10.2737853041948
GSE87544_OPC	dice	HIPPIE	1e+05	863	559.53	561.5	23.1697534459794	1.53695458593054	13.0976792958779
GSE87544_OPC	dice	Reactome	20000	178	116.01	117	9.29265485980375	1.52136752136752	6.67086004325239
GSE87544_OPC	dice	Reactome	50000	429	260.1	262	13.1314257959425	1.63740458015267	12.8622742590671
GSE87544_OPC	dice	Reactome	1e+05	822	495.87	495.5	17.0990312207116	1.65893037336024	19.0730103823056
GSE87544_OPC	dice	STRING	20000	121	57.99	57.5	6.62943390791355	2.10434782608696	9.50458227282197
GSE87544_OPC	dice	STRING	50000	212	109.1	109	9.09156563285805	1.94495412844037	11.3181826052167
GSE87544_OPC	dice	STRING	1e+05	369	185.36	186	12.9813541495314	1.98387096774194	14.1464440369366
GSE87544_OPC	dice	OmniPath	20000	48	16.69	16.5	3.9483918219698	2.90909090909091	7.92981077151048
GSE87544_OPC	dice	OmniPath	50000	98	34.46	34	5.25975764698817	2.88235294117647	12.0804045099652
GSE87544_OPC	dice	OmniPath	1e+05	163	67.05	67.5	7.16102667431864	2.41481481481481	13.3989167145687
