dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_EC2	MI	HIPPIE	20000	37	40.33	40	6.04203290426009	0.925	-0.55113900449832
GSE98816_EC2	MI	HIPPIE	50000	118	105.9	105	8.83576295917376	1.12380952380952	1.36943465503872
GSE98816_EC2	MI	HIPPIE	1e+05	249	213.48	214.5	13.2562011408574	1.16083916083916	2.67950068217678
GSE98816_EC2	MI	Reactome	20000	83	55.22	54.5	6.78468268911076	1.52293577981651	4.09451720484824
GSE98816_EC2	MI	Reactome	50000	213	139.65	138.5	10.3897531104916	1.53790613718412	7.05984051978396
GSE98816_EC2	MI	Reactome	1e+05	472	290.13	289.5	13.0536228958504	1.63039723661485	13.9325305665
GSE98816_EC2	MI	STRING	20000	22	14.14	14	4.10473980769657	1.57142857142857	1.91485949615178
GSE98816_EC2	MI	STRING	50000	60	37.27	37	5.5901338051603	1.62162162162162	4.06609229621977
GSE98816_EC2	MI	STRING	1e+05	112	75.76	74	8.5907161541052	1.51351351351351	4.21850743871711
GSE98816_EC2	MI	OmniPath	20000	5	8.01	8	2.50452116433986	0.625	-1.20182653788569
GSE98816_EC2	MI	OmniPath	50000	23	20.84	21	4.26808688484263	1.0952380952381	0.50608154385771
GSE98816_EC2	MI	OmniPath	1e+05	35	42.39	43	6.06012801144922	0.813953488372093	-1.2194461876116
