dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_EC2	spearman	HIPPIE	20000	28	18.91	19	3.82995898915195	1.47368421052632	2.37339356002158
GSE98816_EC2	spearman	HIPPIE	50000	73	53.01	53	5.93312052733797	1.37735849056604	3.36922196471356
GSE98816_EC2	spearman	HIPPIE	1e+05	140	112.76	113	9.53263400698417	1.23893805309735	2.85755227569236
GSE98816_EC2	spearman	Reactome	20000	42	27.02	27	5.26467165897055	1.55555555555556	2.84538162498232
GSE98816_EC2	spearman	Reactome	50000	114	72.93	73	8.85831801076243	1.56164383561644	4.63632034321888
GSE98816_EC2	spearman	Reactome	1e+05	241	148.99	147	13.1836254421149	1.63945578231293	6.97911211176216
GSE98816_EC2	spearman	STRING	20000	16	9.3	9	3.31357782159979	1.77777777777778	2.02198359619792
GSE98816_EC2	spearman	STRING	50000	44	25.33	25	4.82429667245272	1.76	3.86999417067524
GSE98816_EC2	spearman	STRING	1e+05	100	54.96	54	7.65667332884501	1.85185185185185	5.88245025817161
GSE98816_EC2	spearman	OmniPath	20000	2	3	3	1.7865942997556	0.666666666666667	-0.559724163531026
GSE98816_EC2	spearman	OmniPath	50000	7	8.13	8	2.73641732891381	0.875	-0.412948707808593
GSE98816_EC2	spearman	OmniPath	1e+05	20	18.79	18	4.10541647636929	1.11111111111111	0.294732582422451
