dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_EC3	cosine	HIPPIE	20000	69	39.03	39	6.02428586655881	1.76923076923077	4.97486352139519
GSE98816_EC3	cosine	HIPPIE	50000	199	121.81	121	9.99565056927413	1.64462809917355	7.7223587864582
GSE98816_EC3	cosine	HIPPIE	1e+05	403	266.28	266	14.2077514765779	1.51503759398496	9.62291606982208
GSE98816_EC3	cosine	Reactome	20000	88	51.86	51.5	6.07698090911079	1.70873786407767	5.94703201154011
GSE98816_EC3	cosine	Reactome	50000	299	146.56	147	10.8360789061637	2.03401360544218	14.0678193025422
GSE98816_EC3	cosine	Reactome	1e+05	617	315.63	316	15.718261270692	1.95253164556962	19.1732402719332
GSE98816_EC3	cosine	STRING	20000	72	24.75	24	4.62836009529479	3	10.2087994510269
GSE98816_EC3	cosine	STRING	50000	201	70.15	69.5	7.42147443762241	2.89208633093525	17.6312673579618
GSE98816_EC3	cosine	STRING	1e+05	357	143.94	142	10.0833095416699	2.51408450704225	21.1299672116101
GSE98816_EC3	cosine	OmniPath	20000	41	9.37	9	3.24941331145899	4.55555555555556	9.73406488133026
GSE98816_EC3	cosine	OmniPath	50000	127	28.58	29	5.05560994531737	4.37931034482759	19.4674828684438
GSE98816_EC3	cosine	OmniPath	1e+05	209	63.28	63.5	7.2154155959461	3.29133858267717	20.1956488939973
