dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_EC3	pearson	HIPPIE	20000	20	18.25	18	4.20527566686697	1.11111111111111	0.416143943615423
GSE98816_EC3	pearson	HIPPIE	50000	62	52.8	53	6.05863604345654	1.16981132075472	1.51849359063847
GSE98816_EC3	pearson	HIPPIE	1e+05	130	118.77	118	11.6557134730422	1.10169491525424	0.963475983342696
GSE98816_EC3	pearson	Reactome	20000	38	23.07	23	4.53104888965061	1.65217391304348	3.29504279552173
GSE98816_EC3	pearson	Reactome	50000	92	61.37	61	7.77675245767015	1.50819672131148	3.93866207864053
GSE98816_EC3	pearson	Reactome	1e+05	211	133.69	132.5	12.0627107193611	1.59245283018868	6.40900721227729
GSE98816_EC3	pearson	STRING	20000	28	11.6	11	3.29063562678745	2.54545454545455	4.98383955564562
GSE98816_EC3	pearson	STRING	50000	52	28.36	28	4.66779207209177	1.85714285714286	5.06449294117898
GSE98816_EC3	pearson	STRING	1e+05	89	57.39	57.5	7.05232249158052	1.54782608695652	4.4822113619645
GSE98816_EC3	pearson	OmniPath	20000	8	4.74	4	2.03812153561543	2	1.5995120717939
GSE98816_EC3	pearson	OmniPath	50000	13	11.6	11	2.87096225026109	1.18181818181818	0.487641382213465
GSE98816_EC3	pearson	OmniPath	1e+05	25	23.86	23.5	4.65153390579577	1.06382978723404	0.245080445093514
