dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_FB2	pearson	HIPPIE	20000	48	43.3	44	7.41483634207782	1.09090909090909	0.633864293582365
GSE98816_FB2	pearson	HIPPIE	50000	121	102	103	9.94835146995204	1.1747572815534	1.90986416768522
GSE98816_FB2	pearson	HIPPIE	1e+05	236	198.17	199	13.0454179424398	1.18592964824121	2.89986876364691
GSE98816_FB2	pearson	Reactome	20000	67	36.14	35	6.06699965786095	1.91428571428571	5.08653399378637
GSE98816_FB2	pearson	Reactome	50000	145	86.92	87.5	9.16590079445209	1.65714285714286	6.33652941510719
GSE98816_FB2	pearson	Reactome	1e+05	283	171.63	171	12.8241053008651	1.65497076023392	8.68442650673548
GSE98816_FB2	pearson	STRING	20000	21	14.84	15	3.61456090072508	1.4	1.7042180694104
GSE98816_FB2	pearson	STRING	50000	58	37.75	37	5.79685564366885	1.56756756756757	3.49327311990535
GSE98816_FB2	pearson	STRING	1e+05	116	75.41	75	7.39108799962372	1.54666666666667	5.49174898229684
GSE98816_FB2	pearson	OmniPath	20000	13	7.79	8	3.17278515764394	1.625	1.6420903846729
GSE98816_FB2	pearson	OmniPath	50000	27	20.77	21	4.99667566255482	1.28571428571429	1.24682897605056
GSE98816_FB2	pearson	OmniPath	1e+05	57	39.38	40	6.19674075297619	1.425	2.84343023250366
