dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_FB2	spearman	HIPPIE	20000	79	37.61	37	6.36101605504382	2.13513513513514	6.5068221243021
GSE98816_FB2	spearman	HIPPIE	50000	171	93.68	94	9.21119213815783	1.81914893617021	8.3941360510436
GSE98816_FB2	spearman	HIPPIE	1e+05	316	182.47	183.5	12.8719058260989	1.72207084468665	10.3737552002017
GSE98816_FB2	spearman	Reactome	20000	159	70.02	70	7.28632315029364	2.27142857142857	12.2119206305603
GSE98816_FB2	spearman	Reactome	50000	328	166.54	166.5	10.9640551371518	1.96996996996997	14.7263031770874
GSE98816_FB2	spearman	Reactome	1e+05	615	326.03	327	15.6466377451283	1.88073394495413	18.4685045251957
GSE98816_FB2	spearman	STRING	20000	65	17.91	18	4.21899265108379	3.61111111111111	11.1614320987033
GSE98816_FB2	spearman	STRING	50000	116	40.86	41	5.97641830510346	2.82926829268293	12.5727477837077
GSE98816_FB2	spearman	STRING	1e+05	177	78.99	79	8.15072036228961	2.24050632911392	12.0247040314935
GSE98816_FB2	spearman	OmniPath	20000	59	9.41	9	2.76008710153879	6.55555555555556	17.9668242978103
GSE98816_FB2	spearman	OmniPath	50000	91	20.51	21	4.36814686917771	4.33333333333333	16.1372779146662
GSE98816_FB2	spearman	OmniPath	1e+05	126	37.04	37.5	6.31963430728217	3.36	14.0767638876652
