dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_FB2	weighted_rank	HIPPIE	20000	130	60.23	60	7.20248974909778	2.16666666666667	9.68692805272507
GSE98816_FB2	weighted_rank	HIPPIE	50000	251	132.68	132	10.9451156026584	1.90151515151515	10.8103015349845
GSE98816_FB2	weighted_rank	HIPPIE	1e+05	419	250.58	250	14.7279573353784	1.676	11.4353943432083
GSE98816_FB2	weighted_rank	Reactome	20000	240	121.89	122	9.37210022493692	1.9672131147541	12.6022980084803
GSE98816_FB2	weighted_rank	Reactome	50000	484	258.64	258	15.2848508879435	1.87596899224806	14.7440103702786
GSE98816_FB2	weighted_rank	Reactome	1e+05	844	465.8	467	19.9722029052603	1.80728051391863	18.9363187322911
GSE98816_FB2	weighted_rank	STRING	20000	104	25.37	25.5	5.040552719412	4.07843137254902	15.5994797350661
GSE98816_FB2	weighted_rank	STRING	50000	172	56.71	57	5.71953060163422	3.01754385964912	20.1572485628556
GSE98816_FB2	weighted_rank	STRING	1e+05	252	103.79	105	9.76521863295927	2.4	15.1773355590592
GSE98816_FB2	weighted_rank	OmniPath	20000	83	14.69	15	3.61449103672225	5.53333333333333	18.8989263788425
GSE98816_FB2	weighted_rank	OmniPath	50000	130	29.9	30	4.83777225632216	4.33333333333333	20.6913419434299
GSE98816_FB2	weighted_rank	OmniPath	1e+05	171	51.93	51	6.95767144375127	3.35294117647059	17.1134841538023
